number,id,arm,path,F,G,P,stations,pickup,drop,maximum_duration,original_T_feasible
45,D4,K1-H,results\gf_budgeted_proof_round65\local_raw\protection_v5\D4\K1-H\external\initial_witness.json,0.506422789224163,0.1810788634566511,2.168959505116746,8,29,29,2366.030638810974,True
45,D4,K1-H,results\gf_budgeted_proof_round65\local_raw\protection_v5\D4\K1-H\external\native_0_witness.json,0.506343307565206,0.17721566970978195,2.194184252369493,10,29,29,2389.694072063803,True
46,D4,P-GRB,results\gf_budgeted_proof_round65\local_raw\protection_v5\D4\P-GRB\result.json,0.506343307565206,0.17721566970978195,2.194184252369493,10,29,29,2389.694072063803,True
47,D4,joint,results\gf_budgeted_proof_round65\local_raw\protection_v5\D4\joint\result.json,0.506343307565206,0.17721566970978195,2.194184252369493,10,29,29,2389.694072063803,True
47,D4,joint,results\gf_budgeted_proof_round65\local_raw\protection_v5\D4\joint\external\initial_witness.json,0.506422789224163,0.1810788634566511,2.168959505116746,8,29,29,2366.030638810974,True
47,D4,joint,results\gf_budgeted_proof_round65\local_raw\protection_v5\D4\joint\external\native_0_witness.json,0.506343307565206,0.17721566970978195,2.194184252369493,10,29,29,2389.694072063803,True
48,C2,candidate,results\gf_budgeted_proof_round65\local_raw\long_v5\C2\candidate\result.json,0.8299634131717751,0.26521341317177516,3.7649999999999997,5,17,17,1785.7310100703473,True
48,C2,candidate,results\gf_budgeted_proof_round65\local_raw\long_v5\C2\candidate\external\initial_witness.json,0.8299634131717751,0.26521341317177516,3.7649999999999997,5,17,17,1785.7310100703473,True
48,C2,candidate,results\gf_budgeted_proof_round65\local_raw\long_v5\C2\candidate\external\native_0_witness.json,0.8299634131717751,0.26521341317177516,3.7649999999999997,5,17,17,1785.7310100703473,True
49,C2,K1-H,results\gf_budgeted_proof_round65\local_raw\long_v5\C2\K1-H\result.json,0.8299634131717751,0.26521341317177516,3.7649999999999997,5,17,17,1785.7310100703473,True
49,C2,K1-H,results\gf_budgeted_proof_round65\local_raw\long_v5\C2\K1-H\external\initial_witness.json,0.8299634131717751,0.26521341317177516,3.7649999999999997,5,17,17,1785.7310100703473,True
49,C2,K1-H,results\gf_budgeted_proof_round65\local_raw\long_v5\C2\K1-H\external\native_0_witness.json,0.8299634131717751,0.26521341317177516,3.7649999999999997,5,17,17,1785.7310100703473,True
50,C2,P-GRB,results\gf_budgeted_proof_round65\local_raw\long_v5\C2\P-GRB\result.json,0.8299634131717751,0.26521341317177516,3.7649999999999997,5,17,17,1785.7310100703473,True
51,C5,candidate,results\gf_budgeted_proof_round65\local_raw\protection_v5\C5\candidate\result.json,0.0,0.0,0.0,50,225,150,17222.582857437577,True
51,C5,candidate,results\gf_budgeted_proof_round65\local_raw\protection_v5\C5\candidate\external\initial_witness.json,0.0,0.0,0.0,50,225,150,17222.582857437577,True
52,C5,K1-H,results\gf_budgeted_proof_round65\local_raw\protection_v5\C5\K1-H\result.json,0.0,0.0,0.0,50,225,150,17222.582857437577,True
52,C5,K1-H,results\gf_budgeted_proof_round65\local_raw\protection_v5\C5\K1-H\external\initial_witness.json,0.0,0.0,0.0,50,225,150,17222.582857437577,True
53,C8,candidate,results\gf_budgeted_proof_round65\local_raw\confirmation_v5\C8\candidate\result.json,0.8016499614571361,0.3410649768539302,3.0705665640213726,8,51,51,3583.3612571447647,True
53,C8,candidate,results\gf_budgeted_proof_round65\local_raw\confirmation_v5\C8\candidate\external\initial_witness.json,0.8016499614571361,0.3410649768539302,3.0705665640213726,8,51,51,3583.3612571447647,True
54,C8,K1-H,results\gf_budgeted_proof_round65\local_raw\confirmation_v5\C8\K1-H\result.json,0.8016499614571361,0.3410649768539302,3.0705665640213726,8,51,51,3583.3612571447647,True
54,C8,K1-H,results\gf_budgeted_proof_round65\local_raw\confirmation_v5\C8\K1-H\external\initial_witness.json,0.8016499614571361,0.3410649768539302,3.0705665640213726,8,51,51,3583.3612571447647,True
55,C8,P-GRB,results\gf_budgeted_proof_round65\local_raw\confirmation_v5\C8\P-GRB\result.json,0.8068189167868076,0.34155074340155045,3.1017878225683813,8,50,50,3518.0449578076905,True
56,C9,candidate,results\gf_budgeted_proof_round65\local_raw\confirmation_v5\C9\candidate\result.json,0.0,0.0,0.0,20,44,44,7658.657807546299,True
56,C9,candidate,results\gf_budgeted_proof_round65\local_raw\confirmation_v5\C9\candidate\external\initial_witness.json,0.0,0.0,0.0,20,44,44,7658.657807546299,True
57,C9,K1-H,results\gf_budgeted_proof_round65\local_raw\confirmation_v5\C9\K1-H\result.json,0.0,0.0,0.0,20,44,44,7658.657807546299,True
57,C9,K1-H,results\gf_budgeted_proof_round65\local_raw\confirmation_v5\C9\K1-H\external\initial_witness.json,0.0,0.0,0.0,20,44,44,7658.657807546299,True
58,C9,P-GRB,results\gf_budgeted_proof_round65\local_raw\confirmation_v5\C9\P-GRB\result.json,0.0,0.0,0.0,20,44,44,10187.610134468814,True
59,C5,timing-reliable,results\gf_budgeted_proof_round65\local_raw\timing_v5\C5\timing-reliable\result.json,0.0,0.0,0.0,50,225,150,17222.582857437577,True
59,C5,timing-reliable,results\gf_budgeted_proof_round65\local_raw\timing_v5\C5\timing-reliable\external\initial_witness.json,0.0,0.0,0.0,50,225,150,17222.582857437577,True
60,C7,timing-reliable,results\gf_budgeted_proof_round65\local_raw\timing_v5\C7\timing-reliable\result.json,0.0,0.0,0.0,20,65,65,10308.714520597081,True
60,C7,timing-reliable,results\gf_budgeted_proof_round65\local_raw\timing_v5\C7\timing-reliable\external\initial_witness.json,0.0,0.0,0.0,20,65,65,10308.714520597081,True
61,C5,timing-decoder,results\gf_budgeted_proof_round65\local_raw\timing_decoder_v5\C5\timing-decoder\result.json,0.0,0.0,0.0,50,225,150,17222.582857437577,True
61,C5,timing-decoder,results\gf_budgeted_proof_round65\local_raw\timing_decoder_v5\C5\timing-decoder\external\initial_witness.json,0.0,0.0,0.0,50,225,150,17222.582857437577,True
62,C7,timing-decoder,results\gf_budgeted_proof_round65\local_raw\timing_decoder_v5\C7\timing-decoder\result.json,0.0,0.0,0.0,20,65,65,10308.714520597081,True
62,C7,timing-decoder,results\gf_budgeted_proof_round65\local_raw\timing_decoder_v5\C7\timing-decoder\external\initial_witness.json,0.0,0.0,0.0,20,65,65,10308.714520597081,True
