snapshot_id,snapshot_source,top_fractional_z,top_fractional_x,top_fractional_p,top_fractional_d,top_route_support_station_sets_by_vehicle
dominant_k4_low_gini_1_route_cuts_off_1200s:first_relaxation_callback,first_relaxation_callback,z_0_1:0.394951|z_1_18:0.38833|z_1_17:0.38833|z_1_16:0.38833|z_2_15:0.381695|z_2_18:0.366667|z_0_14:0.634949|z_2_16:0.351608,x_0_2_14:0.431689|x_0_1_19:0.394951|x_0_19_1:0.394951|x_1_4_0:0.61167|x_1_12_4:0.61167|x_1_4_18:0.38833|x_1_18_17:0.38833|x_1_17_16:0.38833,p_1_7:2.46281|p_0_16:4.54354|p_2_15:4.55684|p_1_16:6.57975|p_2_16:0.351608|p_2_20:1.30576|p_2_10:9.69659|p_1_10:0.303405,d_0_1:5.5251|d_2_13:9.45989|d_0_19:4.56636|d_1_18:0.38833|d_1_5:4.36122|d_1_11:2.27928|d_0_17:0.757631|d_2_19:3.79486,"k0:z_0_8=1,z_0_2=1,z_0_19=0.65501,z_0_14=0.63495,z_0_1=0.39495,z_0_16=0.26006|k1:z_1_4=1,z_1_5=0.69659,z_1_12=0.69659,z_1_18=0.38833,z_1_17=0.38833,z_1_16=0.38833|k2:z_2_9=1,z_2_3=1,z_2_10=0.69659,z_2_15=0.38169,z_2_18=0.36667,z_2_16=0.35161"
dominant_k4_low_gini_1_route_cuts_off_300s:first_relaxation_callback,first_relaxation_callback,z_0_1:0.394951|z_1_18:0.38833|z_1_17:0.38833|z_1_16:0.38833|z_2_15:0.381695|z_2_18:0.366667|z_0_14:0.634949|z_2_16:0.351608,x_0_2_14:0.431689|x_0_1_19:0.394951|x_0_19_1:0.394951|x_1_4_0:0.61167|x_1_12_4:0.61167|x_1_4_18:0.38833|x_1_18_17:0.38833|x_1_17_16:0.38833,p_1_7:2.46281|p_0_16:4.54354|p_2_15:4.55684|p_1_16:6.57975|p_2_16:0.351608|p_2_20:1.30576|p_2_10:9.69659|p_1_10:0.303405,d_0_1:5.5251|d_2_13:9.45989|d_0_19:4.56636|d_1_18:0.38833|d_1_5:4.36122|d_1_11:2.27928|d_0_17:0.757631|d_2_19:3.79486,"k0:z_0_8=1,z_0_2=1,z_0_19=0.65501,z_0_14=0.63495,z_0_1=0.39495,z_0_16=0.26006|k1:z_1_4=1,z_1_5=0.69659,z_1_12=0.69659,z_1_18=0.38833,z_1_17=0.38833,z_1_16=0.38833|k2:z_2_9=1,z_2_3=1,z_2_10=0.69659,z_2_15=0.38169,z_2_18=0.36667,z_2_16=0.35161"
dominant_k4_low_gini_1_route_cutset_callback_limited_10s:first_relaxation_callback,first_relaxation_callback,z_0_5:0.53125|z_0_17:0.46875|z_0_14:0.46875|z_1_7:0.455026|z_1_18:0.553443|z_2_13:0.382497|z_2_10:0.382497|z_0_10:0.617503,x_0_8_5:0.53125|x_0_8_14:0.46875|x_0_5_8:0.53125|x_0_2_8:0.46875|x_0_2_17:0.46875|x_0_17_2:0.46875|x_0_14_2:0.46875|x_1_7_0:0.455026,p_2_16:11.4749|p_2_9:6.54986|p_1_9:3.45014|p_1_15:4.55684|p_0_10:2.55928|p_2_10:7.44072|p_0_12:0.37062|p_2_7:0.318192,d_1_1:5.5251|d_2_13:6.47093|d_0_17:5.62377|d_2_19:8.36122|d_0_5:4.36122|d_1_18:3.28319|d_1_11:2.27928|d_0_18:5.07803,"k0:z_0_8=1,z_0_2=0.9375,z_0_10=0.6175,z_0_5=0.53125,z_0_17=0.46875,z_0_14=0.46875|k1:z_1_4=1,z_1_11=0.7889,z_1_1=0.7889,z_1_18=0.55344,z_1_7=0.45503,z_1_9=0.36667|k2:z_2_3=1,z_2_19=1,z_2_16=1,z_2_9=0.63333,z_2_13=0.3825,z_2_10=0.3825"
dominant_k4_low_gini_1_route_cutset_callback_limited_1200s:first_relaxation_callback,first_relaxation_callback,z_0_5:0.53125|z_0_17:0.46875|z_0_14:0.46875|z_1_7:0.455026|z_1_18:0.553443|z_2_13:0.382497|z_2_10:0.382497|z_0_10:0.617503,x_0_8_5:0.53125|x_0_8_14:0.46875|x_0_5_8:0.53125|x_0_2_8:0.46875|x_0_2_17:0.46875|x_0_17_2:0.46875|x_0_14_2:0.46875|x_1_7_0:0.455026,p_2_16:11.4749|p_2_9:6.54986|p_1_9:3.45014|p_1_15:4.55684|p_0_10:2.55928|p_2_10:7.44072|p_0_12:0.37062|p_2_7:0.318192,d_1_1:5.5251|d_2_13:6.47093|d_0_17:5.62377|d_2_19:8.36122|d_0_5:4.36122|d_1_18:3.28319|d_1_11:2.27928|d_0_18:5.07803,"k0:z_0_8=1,z_0_2=0.9375,z_0_10=0.6175,z_0_5=0.53125,z_0_17=0.46875,z_0_14=0.46875|k1:z_1_4=1,z_1_11=0.7889,z_1_1=0.7889,z_1_18=0.55344,z_1_7=0.45503,z_1_9=0.36667|k2:z_2_3=1,z_2_19=1,z_2_16=1,z_2_9=0.63333,z_2_13=0.3825,z_2_10=0.3825"
dominant_k4_low_gini_1_route_cutset_callback_limited_14400s:first_candidate_callback,first_candidate_callback,,,,,"k0:z_0_7=1,z_0_4=1,z_0_19=1,z_0_16=1,z_0_13=1,z_0_10=1|k1:z_1_5=1,z_1_3=1,z_1_2=1,z_1_17=1,z_1_15=1,z_1_11=1|k2:z_2_9=1,z_2_8=1,z_2_20=1,z_2_18=1,z_2_14=1,z_2_12=1"
dominant_k4_low_gini_1_route_cutset_callback_limited_14400s:first_relaxation_callback,first_relaxation_callback,z_0_5:0.53125|z_0_17:0.46875|z_0_14:0.46875|z_1_7:0.455026|z_1_18:0.553443|z_2_13:0.382497|z_2_10:0.382497|z_0_10:0.617503,x_0_8_5:0.53125|x_0_8_14:0.46875|x_0_5_8:0.53125|x_0_2_8:0.46875|x_0_2_17:0.46875|x_0_17_2:0.46875|x_0_14_2:0.46875|x_1_7_0:0.455026,p_2_16:11.4749|p_2_9:6.54986|p_1_9:3.45014|p_1_15:4.55684|p_0_10:2.55928|p_2_10:7.44072|p_0_12:0.37062|p_2_7:0.318192,d_1_1:5.5251|d_2_13:6.47093|d_0_17:5.62377|d_2_19:8.36122|d_0_5:4.36122|d_1_18:3.28319|d_1_11:2.27928|d_0_18:5.07803,"k0:z_0_8=1,z_0_2=0.9375,z_0_10=0.6175,z_0_5=0.53125,z_0_17=0.46875,z_0_14=0.46875|k1:z_1_4=1,z_1_11=0.7889,z_1_1=0.7889,z_1_18=0.55344,z_1_7=0.45503,z_1_9=0.36667|k2:z_2_3=1,z_2_19=1,z_2_16=1,z_2_9=0.63333,z_2_13=0.3825,z_2_10=0.3825"
dominant_k4_low_gini_1_route_cutset_callback_limited_300s:first_relaxation_callback,first_relaxation_callback,z_0_5:0.53125|z_0_17:0.46875|z_0_14:0.46875|z_1_7:0.455026|z_1_18:0.553443|z_2_13:0.382497|z_2_10:0.382497|z_0_10:0.617503,x_0_8_5:0.53125|x_0_8_14:0.46875|x_0_5_8:0.53125|x_0_2_8:0.46875|x_0_2_17:0.46875|x_0_17_2:0.46875|x_0_14_2:0.46875|x_1_7_0:0.455026,p_2_16:11.4749|p_2_9:6.54986|p_1_9:3.45014|p_1_15:4.55684|p_0_10:2.55928|p_2_10:7.44072|p_0_12:0.37062|p_2_7:0.318192,d_1_1:5.5251|d_2_13:6.47093|d_0_17:5.62377|d_2_19:8.36122|d_0_5:4.36122|d_1_18:3.28319|d_1_11:2.27928|d_0_18:5.07803,"k0:z_0_8=1,z_0_2=0.9375,z_0_10=0.6175,z_0_5=0.53125,z_0_17=0.46875,z_0_14=0.46875|k1:z_1_4=1,z_1_11=0.7889,z_1_1=0.7889,z_1_18=0.55344,z_1_7=0.45503,z_1_9=0.36667|k2:z_2_3=1,z_2_19=1,z_2_16=1,z_2_9=0.63333,z_2_13=0.3825,z_2_10=0.3825"
dominant_k4_low_gini_1_route_cutset_callback_limited_3600s:first_relaxation_callback,first_relaxation_callback,z_0_5:0.53125|z_0_17:0.46875|z_0_14:0.46875|z_1_7:0.455026|z_1_18:0.553443|z_2_13:0.382497|z_2_10:0.382497|z_0_10:0.617503,x_0_8_5:0.53125|x_0_8_14:0.46875|x_0_5_8:0.53125|x_0_2_8:0.46875|x_0_2_17:0.46875|x_0_17_2:0.46875|x_0_14_2:0.46875|x_1_7_0:0.455026,p_2_16:11.4749|p_2_9:6.54986|p_1_9:3.45014|p_1_15:4.55684|p_0_10:2.55928|p_2_10:7.44072|p_0_12:0.37062|p_2_7:0.318192,d_1_1:5.5251|d_2_13:6.47093|d_0_17:5.62377|d_2_19:8.36122|d_0_5:4.36122|d_1_18:3.28319|d_1_11:2.27928|d_0_18:5.07803,"k0:z_0_8=1,z_0_2=0.9375,z_0_10=0.6175,z_0_5=0.53125,z_0_17=0.46875,z_0_14=0.46875|k1:z_1_4=1,z_1_11=0.7889,z_1_1=0.7889,z_1_18=0.55344,z_1_7=0.45503,z_1_9=0.36667|k2:z_2_3=1,z_2_19=1,z_2_16=1,z_2_9=0.63333,z_2_13=0.3825,z_2_10=0.3825"
dominant_k4_low_gini_1_route_cutset_only_high_violation_1200s:first_relaxation_callback,first_relaxation_callback,z_0_1:0.394951|z_1_18:0.38833|z_1_17:0.38833|z_1_16:0.38833|z_2_15:0.381695|z_2_18:0.366667|z_0_14:0.634949|z_2_16:0.351608,x_0_2_14:0.431689|x_0_1_19:0.394951|x_0_19_1:0.394951|x_1_4_0:0.61167|x_1_12_4:0.61167|x_1_4_18:0.38833|x_1_18_17:0.38833|x_1_17_16:0.38833,p_1_7:2.46281|p_0_16:4.54354|p_2_15:4.55684|p_1_16:6.57975|p_2_16:0.351608|p_2_20:1.30576|p_2_10:9.69659|p_1_10:0.303405,d_0_1:5.5251|d_2_13:9.45989|d_0_19:4.56636|d_1_18:0.38833|d_1_5:4.36122|d_1_11:2.27928|d_0_17:0.757631|d_2_19:3.79486,"k0:z_0_8=1,z_0_2=1,z_0_19=0.65501,z_0_14=0.63495,z_0_1=0.39495,z_0_16=0.26006|k1:z_1_4=1,z_1_5=0.69659,z_1_12=0.69659,z_1_18=0.38833,z_1_17=0.38833,z_1_16=0.38833|k2:z_2_9=1,z_2_3=1,z_2_10=0.69659,z_2_15=0.38169,z_2_18=0.36667,z_2_16=0.35161"
dominant_k4_low_gini_1_route_cutset_only_high_violation_300s:first_relaxation_callback,first_relaxation_callback,z_0_1:0.394951|z_1_18:0.38833|z_1_17:0.38833|z_1_16:0.38833|z_2_15:0.381695|z_2_18:0.366667|z_0_14:0.634949|z_2_16:0.351608,x_0_2_14:0.431689|x_0_1_19:0.394951|x_0_19_1:0.394951|x_1_4_0:0.61167|x_1_12_4:0.61167|x_1_4_18:0.38833|x_1_18_17:0.38833|x_1_17_16:0.38833,p_1_7:2.46281|p_0_16:4.54354|p_2_15:4.55684|p_1_16:6.57975|p_2_16:0.351608|p_2_20:1.30576|p_2_10:9.69659|p_1_10:0.303405,d_0_1:5.5251|d_2_13:9.45989|d_0_19:4.56636|d_1_18:0.38833|d_1_5:4.36122|d_1_11:2.27928|d_0_17:0.757631|d_2_19:3.79486,"k0:z_0_8=1,z_0_2=1,z_0_19=0.65501,z_0_14=0.63495,z_0_1=0.39495,z_0_16=0.26006|k1:z_1_4=1,z_1_5=0.69659,z_1_12=0.69659,z_1_18=0.38833,z_1_17=0.38833,z_1_16=0.38833|k2:z_2_9=1,z_2_3=1,z_2_10=0.69659,z_2_15=0.38169,z_2_18=0.36667,z_2_16=0.35161"
dominant_k4_low_gini_1_route_cutset_root_limited_1200s:first_relaxation_callback,first_relaxation_callback,z_0_1:0.394951|z_1_18:0.38833|z_1_17:0.38833|z_1_16:0.38833|z_2_15:0.381695|z_2_18:0.366667|z_0_14:0.634949|z_2_16:0.351608,x_0_2_14:0.431689|x_0_1_19:0.394951|x_0_19_1:0.394951|x_1_4_0:0.61167|x_1_12_4:0.61167|x_1_4_18:0.38833|x_1_18_17:0.38833|x_1_17_16:0.38833,p_1_7:2.46281|p_0_16:4.54354|p_2_15:4.55684|p_1_16:6.57975|p_2_16:0.351608|p_2_20:1.30576|p_2_10:9.69659|p_1_10:0.303405,d_0_1:5.5251|d_2_13:9.45989|d_0_19:4.56636|d_1_18:0.38833|d_1_5:4.36122|d_1_11:2.27928|d_0_17:0.757631|d_2_19:3.79486,"k0:z_0_8=1,z_0_2=1,z_0_19=0.65501,z_0_14=0.63495,z_0_1=0.39495,z_0_16=0.26006|k1:z_1_4=1,z_1_5=0.69659,z_1_12=0.69659,z_1_18=0.38833,z_1_17=0.38833,z_1_16=0.38833|k2:z_2_9=1,z_2_3=1,z_2_10=0.69659,z_2_15=0.38169,z_2_18=0.36667,z_2_16=0.35161"
dominant_k4_low_gini_1_route_cutset_root_limited_300s:first_relaxation_callback,first_relaxation_callback,z_0_1:0.394951|z_1_18:0.38833|z_1_17:0.38833|z_1_16:0.38833|z_2_15:0.381695|z_2_18:0.366667|z_0_14:0.634949|z_2_16:0.351608,x_0_2_14:0.431689|x_0_1_19:0.394951|x_0_19_1:0.394951|x_1_4_0:0.61167|x_1_12_4:0.61167|x_1_4_18:0.38833|x_1_18_17:0.38833|x_1_17_16:0.38833,p_1_7:2.46281|p_0_16:4.54354|p_2_15:4.55684|p_1_16:6.57975|p_2_16:0.351608|p_2_20:1.30576|p_2_10:9.69659|p_1_10:0.303405,d_0_1:5.5251|d_2_13:9.45989|d_0_19:4.56636|d_1_18:0.38833|d_1_5:4.36122|d_1_11:2.27928|d_0_17:0.757631|d_2_19:3.79486,"k0:z_0_8=1,z_0_2=1,z_0_19=0.65501,z_0_14=0.63495,z_0_1=0.39495,z_0_16=0.26006|k1:z_1_4=1,z_1_5=0.69659,z_1_12=0.69659,z_1_18=0.38833,z_1_17=0.38833,z_1_16=0.38833|k2:z_2_9=1,z_2_3=1,z_2_10=0.69659,z_2_15=0.38169,z_2_18=0.36667,z_2_16=0.35161"
dominant_k4_low_gini_1_sp_aggregate_only_1200s:first_relaxation_callback,first_relaxation_callback,z_0_1:0.394951|z_1_18:0.38833|z_1_17:0.38833|z_1_16:0.38833|z_2_15:0.381695|z_2_18:0.366667|z_0_14:0.634949|z_2_16:0.351608,x_0_2_14:0.431689|x_0_1_19:0.394951|x_0_19_1:0.394951|x_1_4_0:0.61167|x_1_12_4:0.61167|x_1_4_18:0.38833|x_1_18_17:0.38833|x_1_17_16:0.38833,p_1_7:2.46281|p_0_16:4.54354|p_2_15:4.55684|p_1_16:6.57975|p_2_16:0.351608|p_2_20:1.30576|p_2_10:9.69659|p_1_10:0.303405,d_0_1:5.5251|d_2_13:9.45989|d_0_19:4.56636|d_1_18:0.38833|d_1_5:4.36122|d_1_11:2.27928|d_0_17:0.757631|d_2_19:3.79486,"k0:z_0_8=1,z_0_2=1,z_0_19=0.65501,z_0_14=0.63495,z_0_1=0.39495,z_0_16=0.26006|k1:z_1_4=1,z_1_5=0.69659,z_1_12=0.69659,z_1_18=0.38833,z_1_17=0.38833,z_1_16=0.38833|k2:z_2_9=1,z_2_3=1,z_2_10=0.69659,z_2_15=0.38169,z_2_18=0.36667,z_2_16=0.35161"
dominant_k4_low_gini_1_sp_aggregate_only_300s:first_relaxation_callback,first_relaxation_callback,z_0_1:0.394951|z_1_18:0.38833|z_1_17:0.38833|z_1_16:0.38833|z_2_15:0.381695|z_2_18:0.366667|z_0_14:0.634949|z_2_16:0.351608,x_0_2_14:0.431689|x_0_1_19:0.394951|x_0_19_1:0.394951|x_1_4_0:0.61167|x_1_12_4:0.61167|x_1_4_18:0.38833|x_1_18_17:0.38833|x_1_17_16:0.38833,p_1_7:2.46281|p_0_16:4.54354|p_2_15:4.55684|p_1_16:6.57975|p_2_16:0.351608|p_2_20:1.30576|p_2_10:9.69659|p_1_10:0.303405,d_0_1:5.5251|d_2_13:9.45989|d_0_19:4.56636|d_1_18:0.38833|d_1_5:4.36122|d_1_11:2.27928|d_0_17:0.757631|d_2_19:3.79486,"k0:z_0_8=1,z_0_2=1,z_0_19=0.65501,z_0_14=0.63495,z_0_1=0.39495,z_0_16=0.26006|k1:z_1_4=1,z_1_5=0.69659,z_1_12=0.69659,z_1_18=0.38833,z_1_17=0.38833,z_1_16=0.38833|k2:z_2_9=1,z_2_3=1,z_2_10=0.69659,z_2_15=0.38169,z_2_18=0.36667,z_2_16=0.35161"
dominant_k4_low_gini_1_sp_disaggregated_additive_1200s:first_relaxation_callback,first_relaxation_callback,z_1_17:0.526874|z_2_13:0.473126|z_2_10:0.473126|z_1_10:0.526874|z_1_16:0.424056|z_0_16:0.575944|z_0_1:0.575944|z_2_20:0.576874,x_2_10_13:0.473126|x_2_0_10:0.473126|x_1_10_17:0.44195|x_1_19_16:0.424056|x_0_1_16:0.575944|x_2_9_20:0.576874|x_2_20_3:0.576874|x_2_13_3:0.423126,p_1_10:0.526874|p_2_10:9.47313|p_1_7:2.46281|p_1_15:4.55684|p_1_12:1.388|p_0_12:0.728529|p_0_2:15.7339|p_1_2:0.266149,d_0_1:5.5251|d_2_13:9.45989|d_1_17:5.62377|d_1_19:6.37038|d_1_5:4.36122|d_0_8:10.6854|d_1_11:2.27928|d_1_8:0.266149,"k0:z_0_8=0.73385,z_0_2=0.73385,z_0_14=0.73385,z_0_18=0.72853,z_0_12=0.72853,z_0_16=0.57594|k1:z_1_4=1,z_1_19=0.73385,z_1_10=0.52687,z_1_17=0.52687,z_1_16=0.42406,z_1_2=0.26615|k2:z_2_6=1,z_2_3=1,z_2_9=0.73927,z_2_20=0.57687,z_2_13=0.47313,z_2_10=0.47313"
dominant_k4_low_gini_1_sp_disaggregated_additive_300s:first_relaxation_callback,first_relaxation_callback,z_1_17:0.526874|z_2_13:0.473126|z_2_10:0.473126|z_1_10:0.526874|z_1_16:0.424056|z_0_16:0.575944|z_0_1:0.575944|z_2_20:0.576874,x_2_10_13:0.473126|x_2_0_10:0.473126|x_1_10_17:0.44195|x_1_19_16:0.424056|x_0_1_16:0.575944|x_2_9_20:0.576874|x_2_20_3:0.576874|x_2_13_3:0.423126,p_1_10:0.526874|p_2_10:9.47313|p_1_7:2.46281|p_1_15:4.55684|p_1_12:1.388|p_0_12:0.728529|p_0_2:15.7339|p_1_2:0.266149,d_0_1:5.5251|d_2_13:9.45989|d_1_17:5.62377|d_1_19:6.37038|d_1_5:4.36122|d_0_8:10.6854|d_1_11:2.27928|d_1_8:0.266149,"k0:z_0_8=0.73385,z_0_2=0.73385,z_0_14=0.73385,z_0_18=0.72853,z_0_12=0.72853,z_0_16=0.57594|k1:z_1_4=1,z_1_19=0.73385,z_1_10=0.52687,z_1_17=0.52687,z_1_16=0.42406,z_1_2=0.26615|k2:z_2_6=1,z_2_3=1,z_2_9=0.73927,z_2_20=0.57687,z_2_13=0.47313,z_2_10=0.47313"
dominant_k4_low_gini_1_sp_disaggregated_additive_3600s:first_relaxation_callback,first_relaxation_callback,z_1_17:0.526874|z_2_13:0.473126|z_2_10:0.473126|z_1_10:0.526874|z_1_16:0.424056|z_0_16:0.575944|z_0_1:0.575944|z_2_20:0.576874,x_2_10_13:0.473126|x_2_0_10:0.473126|x_1_10_17:0.44195|x_1_19_16:0.424056|x_0_1_16:0.575944|x_2_9_20:0.576874|x_2_20_3:0.576874|x_2_13_3:0.423126,p_1_10:0.526874|p_2_10:9.47313|p_1_7:2.46281|p_1_15:4.55684|p_1_12:1.388|p_0_12:0.728529|p_0_2:15.7339|p_1_2:0.266149,d_0_1:5.5251|d_2_13:9.45989|d_1_17:5.62377|d_1_19:6.37038|d_1_5:4.36122|d_0_8:10.6854|d_1_11:2.27928|d_1_8:0.266149,"k0:z_0_8=0.73385,z_0_2=0.73385,z_0_14=0.73385,z_0_18=0.72853,z_0_12=0.72853,z_0_16=0.57594|k1:z_1_4=1,z_1_19=0.73385,z_1_10=0.52687,z_1_17=0.52687,z_1_16=0.42406,z_1_2=0.26615|k2:z_2_6=1,z_2_3=1,z_2_9=0.73927,z_2_20=0.57687,z_2_13=0.47313,z_2_10=0.47313"
dominant_k4_low_gini_1_sp_disaggregated_callback_only_if_violated_10s:first_relaxation_callback,first_relaxation_callback,z_1_18:0.514115|z_2_12:0.633333|z_2_20:0.364559|z_2_10:0.364559|z_1_10:0.635441|z_1_14:0.653614|z_0_9:0.278756|z_0_18:0.278756,x_1_9_18:0.514115|x_1_18_9:0.514115|x_1_4_10:0.602108|x_1_10_13:0.602108|x_0_1_19:0.382497|x_0_1_16:0.617503|x_0_19_16:0.382497|x_0_19_1:0.617503,p_0_16:11.4749|p_1_7:2.46281|p_1_15:4.55684|p_1_9:9.37617|p_0_9:0.623826|p_1_10:3.72159|p_2_10:6.27841|p_1_14:7.14715,d_0_1:5.5251|d_1_13:9.45989|d_2_8:0.559942|d_1_8:10.3916|d_0_17:5.62377|d_0_5:4.36122|d_0_19:8.36122|d_1_18:6.33344,"k0:z_0_19=1,z_0_17=1,z_0_16=1,z_0_1=1,z_0_2=0.92315,z_0_9=0.27876|k1:z_1_4=1,z_1_13=1,z_1_8=0.88695,z_1_9=0.72124,z_1_14=0.65361,z_1_10=0.63544|k2:z_2_3=1,z_2_12=0.63333,z_2_20=0.36456,z_2_10=0.36456,z_2_8=0.11305,z_2_6=0.0021076"
dominant_k4_low_gini_1_sp_disaggregated_callback_only_if_violated_1200s:first_relaxation_callback,first_relaxation_callback,z_1_18:0.514115|z_2_12:0.633333|z_2_20:0.364559|z_2_10:0.364559|z_1_10:0.635441|z_1_14:0.653614|z_0_9:0.278756|z_0_18:0.278756,x_1_9_18:0.514115|x_1_18_9:0.514115|x_1_4_10:0.602108|x_1_10_13:0.602108|x_0_1_19:0.382497|x_0_1_16:0.617503|x_0_19_16:0.382497|x_0_19_1:0.617503,p_0_16:11.4749|p_1_7:2.46281|p_1_15:4.55684|p_1_9:9.37617|p_0_9:0.623826|p_1_10:3.72159|p_2_10:6.27841|p_1_14:7.14715,d_0_1:5.5251|d_1_13:9.45989|d_2_8:0.559942|d_1_8:10.3916|d_0_17:5.62377|d_0_5:4.36122|d_0_19:8.36122|d_1_18:6.33344,"k0:z_0_19=1,z_0_17=1,z_0_16=1,z_0_1=1,z_0_2=0.92315,z_0_9=0.27876|k1:z_1_4=1,z_1_13=1,z_1_8=0.88695,z_1_9=0.72124,z_1_14=0.65361,z_1_10=0.63544|k2:z_2_3=1,z_2_12=0.63333,z_2_20=0.36456,z_2_10=0.36456,z_2_8=0.11305,z_2_6=0.0021076"
dominant_k4_low_gini_1_sp_disaggregated_callback_only_if_violated_300s:first_relaxation_callback,first_relaxation_callback,z_1_18:0.514115|z_2_12:0.633333|z_2_20:0.364559|z_2_10:0.364559|z_1_10:0.635441|z_1_14:0.653614|z_0_9:0.278756|z_0_18:0.278756,x_1_9_18:0.514115|x_1_18_9:0.514115|x_1_4_10:0.602108|x_1_10_13:0.602108|x_0_1_19:0.382497|x_0_1_16:0.617503|x_0_19_16:0.382497|x_0_19_1:0.617503,p_0_16:11.4749|p_1_7:2.46281|p_1_15:4.55684|p_1_9:9.37617|p_0_9:0.623826|p_1_10:3.72159|p_2_10:6.27841|p_1_14:7.14715,d_0_1:5.5251|d_1_13:9.45989|d_2_8:0.559942|d_1_8:10.3916|d_0_17:5.62377|d_0_5:4.36122|d_0_19:8.36122|d_1_18:6.33344,"k0:z_0_19=1,z_0_17=1,z_0_16=1,z_0_1=1,z_0_2=0.92315,z_0_9=0.27876|k1:z_1_4=1,z_1_13=1,z_1_8=0.88695,z_1_9=0.72124,z_1_14=0.65361,z_1_10=0.63544|k2:z_2_3=1,z_2_12=0.63333,z_2_20=0.36456,z_2_10=0.36456,z_2_8=0.11305,z_2_6=0.0021076"
dominant_k4_low_gini_1_sp_disaggregated_replace_aggregate_1200s:first_relaxation_callback,first_relaxation_callback,z_2_12:0.565841|z_1_4:0.617503|z_1_14:0.382497|z_0_4:0.382497|z_0_1:0.617503|z_2_8:0.364153|z_2_20:0.364153|z_0_8:0.339485,x_2_3_12:0.565841|x_2_12_3:0.565841|x_1_4_11:0.410374|x_1_2_4:0.617503|x_1_2_14:0.382497|x_1_14_2:0.382497|x_0_4_16:0.382497|x_0_1_16:0.617503,p_0_16:11.4749|p_2_7:2.46281|p_1_15:4.55684|p_0_14:4.41606|p_1_14:0.382497|p_2_14:2.34859|p_2_20:3.11653|p_2_12:2.11653,d_1_13:9.45989|d_1_4:0.617503|d_0_4:0.382497|d_0_1:0.617503|d_1_5:4.36122|d_0_18:8.36122|d_0_17:0.339485|d_2_3:10.6667,"k0:z_0_9=1,z_0_16=1,z_0_19=0.73171,z_0_18=0.66667,z_0_1=0.6175,z_0_4=0.3825|k1:z_1_2=1,z_1_11=0.70674,z_1_4=0.6175,z_1_14=0.3825,z_1_17=0.3262,z_1_13=0.3262|k2:z_2_10=1,z_2_3=0.66667,z_2_7=0.66425,z_2_12=0.56584,z_2_8=0.36415,z_2_20=0.36415"
dominant_k4_low_gini_1_sp_disaggregated_replace_aggregate_300s:first_relaxation_callback,first_relaxation_callback,z_2_12:0.565841|z_1_4:0.617503|z_1_14:0.382497|z_0_4:0.382497|z_0_1:0.617503|z_2_8:0.364153|z_2_20:0.364153|z_0_8:0.339485,x_2_3_12:0.565841|x_2_12_3:0.565841|x_1_4_11:0.410374|x_1_2_4:0.617503|x_1_2_14:0.382497|x_1_14_2:0.382497|x_0_4_16:0.382497|x_0_1_16:0.617503,p_0_16:11.4749|p_2_7:2.46281|p_1_15:4.55684|p_0_14:4.41606|p_1_14:0.382497|p_2_14:2.34859|p_2_20:3.11653|p_2_12:2.11653,d_1_13:9.45989|d_1_4:0.617503|d_0_4:0.382497|d_0_1:0.617503|d_1_5:4.36122|d_0_18:8.36122|d_0_17:0.339485|d_2_3:10.6667,"k0:z_0_9=1,z_0_16=1,z_0_19=0.73171,z_0_18=0.66667,z_0_1=0.6175,z_0_4=0.3825|k1:z_1_2=1,z_1_11=0.70674,z_1_4=0.6175,z_1_14=0.3825,z_1_17=0.3262,z_1_13=0.3262|k2:z_2_10=1,z_2_3=0.66667,z_2_7=0.66425,z_2_12=0.56584,z_2_8=0.36415,z_2_20=0.36415"
dominant_k4_low_gini_1_sp_disaggregated_with_tight_e_bounds_1200s:first_relaxation_callback,first_relaxation_callback,z_1_17:0.526874|z_2_13:0.473126|z_2_10:0.473126|z_1_10:0.526874|z_1_16:0.424056|z_0_16:0.575944|z_0_1:0.575944|z_2_20:0.576874,x_2_10_13:0.473126|x_2_0_10:0.473126|x_1_10_17:0.44195|x_1_19_16:0.424056|x_0_1_16:0.575944|x_2_9_20:0.576874|x_2_20_3:0.576874|x_2_13_3:0.423126,p_1_10:0.526874|p_2_10:9.47313|p_1_7:2.46281|p_1_15:4.55684|p_1_12:1.388|p_0_12:0.728529|p_0_2:15.7339|p_1_2:0.266149,d_0_1:5.5251|d_2_13:9.45989|d_1_17:5.62377|d_1_19:6.37038|d_1_5:4.36122|d_0_8:10.6854|d_1_11:2.27928|d_1_8:0.266149,"k0:z_0_8=0.73385,z_0_2=0.73385,z_0_14=0.73385,z_0_18=0.72853,z_0_12=0.72853,z_0_16=0.57594|k1:z_1_4=1,z_1_19=0.73385,z_1_10=0.52687,z_1_17=0.52687,z_1_16=0.42406,z_1_2=0.26615|k2:z_2_6=1,z_2_3=1,z_2_9=0.73927,z_2_20=0.57687,z_2_13=0.47313,z_2_10=0.47313"
