file,method,algorithm_preset,status,certified_original_problem,tailored_bc_enabled,tailored_bc_mode,tailored_bc_callback_available,tailored_bc_source_class,tailored_bc_candidate_projection_checks,tailored_bc_candidate_projection_verified,tailored_bc_candidate_projection_rejections,tailored_bc_candidate_projection_unsupported_mismatches,tailored_bc_candidate_route_projection_checks,tailored_bc_candidate_route_projection_verified,tailored_bc_candidate_route_projection_rejections,tailored_bc_candidate_route_projection_unsupported_mismatches,audit_passed,failures
results\gf_tailored_bc_structural_policy_round\raw\dominant_k4_low_gini_1_static_tailored_compact_bc_300s.json,interval-cutoff-oracle,paper-gf-tailored-bc,interval_unresolved_timeout,False,True,callback,True,tailored_bc_assisted_noncertified,0,0,0,0,0,0,0,0,True,
results\gf_tailored_bc_structural_policy_round\raw\dominant_k4_low_gini_1_static_tailored_compact_bc_3600s.json,interval-cutoff-oracle,paper-gf-tailored-bc,interval_unresolved_timeout,False,True,callback,True,tailored_bc_assisted_noncertified,0,0,0,0,0,0,0,0,True,
results\gf_tailored_bc_structural_policy_round\raw\dominant_k4_low_gini_1_support_cover_callback_limited_1200s.json,interval-cutoff-oracle,paper-gf-tailored-bc,interval_unresolved_timeout,False,True,callback,True,tailored_bc_assisted_noncertified,0,0,0,0,0,0,0,0,True,
results\gf_tailored_bc_structural_policy_round\raw\dominant_k4_low_gini_1_support_cover_callback_limited_300s.json,interval-cutoff-oracle,paper-gf-tailored-bc,interval_unresolved_timeout,False,True,callback,True,tailored_bc_assisted_noncertified,0,0,0,0,0,0,0,0,True,
results\gf_tailored_bc_structural_policy_round\raw\dominant_k4_low_gini_1_support_cover_only_high_violation_1200s.json,interval-cutoff-oracle,paper-gf-tailored-bc,interval_unresolved_timeout,False,True,callback,True,tailored_bc_assisted_noncertified,0,0,0,0,0,0,0,0,True,
results\gf_tailored_bc_structural_policy_round\raw\dominant_k4_low_gini_1_support_cover_only_high_violation_300s.json,interval-cutoff-oracle,paper-gf-tailored-bc,interval_unresolved_timeout,False,True,callback,True,tailored_bc_assisted_noncertified,0,0,0,0,0,0,0,0,True,
results\gf_tailored_bc_structural_policy_round\raw\dominant_k4_low_gini_1_support_cover_root_limited_1200s.json,interval-cutoff-oracle,paper-gf-tailored-bc,interval_unresolved_timeout,False,True,callback,True,tailored_bc_assisted_noncertified,0,0,0,0,0,0,0,0,True,
results\gf_tailored_bc_structural_policy_round\raw\dominant_k4_low_gini_1_support_cover_root_limited_300s.json,interval-cutoff-oracle,paper-gf-tailored-bc,interval_unresolved_timeout,False,True,callback,True,tailored_bc_assisted_noncertified,0,0,0,0,0,0,0,0,True,
results\gf_tailored_bc_structural_policy_round\raw\dominant_k4_low_gini_2_gs_static_upper_only_300s.json,interval-cutoff-oracle,paper-gf-tailored-bc,interval_unresolved_timeout,False,True,callback,True,tailored_bc_assisted_noncertified,0,0,0,0,0,0,0,0,True,
results\gf_tailored_bc_structural_policy_round\raw\dominant_k4_tight_T_seed3102_hard_gs_static_upper_only_300s.json,interval-cutoff-oracle,paper-gf-tailored-bc,interval_closed,False,True,callback,True,tailored_bc_certified,0,0,0,0,0,0,0,0,True,
