event_sequence,elapsed_runtime_seconds,work,incumbent_available,incumbent,best_bound_available,best_bound,processed_nodes,open_nodes,solution_count,callback_where,phase,context
150,2.5023507999999999,3.2976715124343738,true,0.47213953205662673,true,0.44163069096487184,1540,152,6.9169190417774516e-323,3,1,MIP
151,2.5025000999999998,3.2978265084343739,true,0.47213953205662673,true,0.44169050407897559,1541,151,6.9169190417774516e-323,3,1,MIP
152,2.5043479,3.3003194027768523,true,0.47213953205662673,true,0.44208213783129985,1542,152,6.9169190417774516e-323,3,1,MIP
153,2.5054048,3.3020098004441873,true,0.47213953205662673,true,0.442556414151552,1543,150,6.9169190417774516e-323,3,1,MIP
154,2.5215497,3.3233006748654028,true,0.46975670741141051,true,0.44263440452210262,1546,130,7.4109846876186982e-323,3,1,MIP
155,2.5261108000000001,3.3297992544467476,true,0.46975670741141051,true,0.44351386480182542,1551,129,7.4109846876186982e-323,3,1,MIP
156,2.5351322999999999,3.342332147295128,true,0.46975670741141051,true,0.44399132207549857,1559,124,7.4109846876186982e-323,3,1,MIP
157,2.5353447,3.3426047572899136,true,0.46975670741141051,true,0.4443619835387565,1560,125,7.4109846876186982e-323,3,1,MIP
158,2.5611252000000002,3.3759752216492167,true,0.46975670741141051,true,0.44463704667875747,1586,129,7.4109846876186982e-323,3,1,MIP
159,2.5748007999999998,3.3954096624953722,true,0.46975670741141051,true,0.44465394056142649,1591,126,7.4109846876186982e-323,3,1,MIP
160,2.5819059000000002,3.4032977738179646,true,0.46778671556782225,true,0.44465394056142649,1594,94,8.3991159793011913e-323,3,1,MIP
161,2.6261196999999998,3.4617350055781677,true,0.46674559471031352,true,0.44465394056142649,1639,85,8.8931816251424378e-323,3,1,MIP
162,2.6264598000000001,3.4622833603975449,true,0.46674559471031352,true,0.44465624554769478,1640,86,8.8931816251424378e-323,3,1,MIP
163,2.6353542000000001,3.4735534169255162,true,0.46674559471031352,true,0.44479988525869152,1652,86,8.8931816251424378e-323,3,1,MIP
164,2.6409837999999999,3.4808456748295074,true,0.46674559471031352,true,0.44527631968320236,1659,84,8.8931816251424378e-323,3,1,MIP
165,2.6417795000000002,3.4821097527745368,true,0.46674559471031352,true,0.44569602166577199,1660,85,8.8931816251424378e-323,3,1,MIP
166,2.6483911999999998,3.4923651074337836,true,0.46674559471031352,true,0.44570239960330177,1667,83,8.8931816251424378e-323,3,1,MIP
167,2.6498560000000002,3.4949263604752665,true,0.46674559471031352,true,0.4457924498750272,1668,84,8.8931816251424378e-323,3,1,MIP
168,2.6707288,3.517520835892745,true,0.46674559471031352,true,0.44594595061047437,1679,85,8.8931816251424378e-323,3,1,MIP
169,2.6787934999999998,3.5274094229073785,true,0.46674559471031352,true,0.44606668552731893,1685,83,8.8931816251424378e-323,3,1,MIP
170,2.680577,3.5293838167827771,true,0.46674559471031352,true,0.4462865091644771,1686,84,8.8931816251424378e-323,3,1,MIP
171,2.6916676000000002,3.5420680370160373,true,0.46674559471031352,true,0.44636732748288427,1699,82,8.8931816251424378e-323,3,1,MIP
172,2.6948360999999998,3.5452002781932812,true,0.46674559471031352,true,0.44655852331146878,1700,83,8.8931816251424378e-323,3,1,MIP
173,2.6961004000000002,3.5462693241491161,true,0.46674559471031352,true,0.44658045900400339,1701,82,8.8931816251424378e-323,3,1,MIP
