instance,seed,run_id,mode,label,objective,G,P,route_count,served_station_count,total_pickup,total_drop,depot_unload,route_durations,verifier_passed,runtime,accepted_as_best,exported_incumbent_path
gcap_smoke_V4_M1.txt,20260626,131,hga-tgbc,hga_route_child_gen_3,0.135,0.075,0.4,1,3,3,3,0,"444",true,0.0075354,false,results\tgbc_migration_round\incumbents\v4_hga_tgbc_v6.json
gcap_smoke_V4_M1.txt,20260626,132,hga-tgbc,hga_route_child_gen_3,0,0,0,1,4,4,4,0,"563",true,0.0075437,false,results\tgbc_migration_round\incumbents\v4_hga_tgbc_v6.json
gcap_smoke_V4_M1.txt,20260626,133,hga-tgbc,hga_route_child_gen_3,0.135,0.075,0.4,1,4,3,3,0,"457",true,0.0075501,false,results\tgbc_migration_round\incumbents\v4_hga_tgbc_v6.json
gcap_smoke_V4_M1.txt,20260626,134,hga-tgbc,hga_route_child_gen_3,0.135,0.075,0.4,1,3,3,3,0,"444",true,0.0075598,false,results\tgbc_migration_round\incumbents\v4_hga_tgbc_v6.json
gcap_smoke_V4_M1.txt,20260626,135,hga-tgbc,hga_route_child_gen_3,0.286667,0.166667,0.8,1,3,3,1,2,"452",true,0.0075673,false,results\tgbc_migration_round\incumbents\v4_hga_tgbc_v6.json
gcap_smoke_V4_M1.txt,20260626,136,hga-tgbc,hga_route_child_gen_3,0.0694737,0.0394737,0.2,1,3,4,3,1,"555",true,0.0075771,false,results\tgbc_migration_round\incumbents\v4_hga_tgbc_v6.json
gcap_smoke_V4_M1.txt,20260626,137,hga-tgbc,hga_route_child_gen_3,0,0,0,1,4,4,4,0,"567",true,0.0075846,false,results\tgbc_migration_round\incumbents\v4_hga_tgbc_v6.json
gcap_smoke_V4_M1.txt,20260626,138,hga-tgbc,hga_route_child_gen_4,0.0694737,0.0394737,0.2,1,3,4,3,1,"564",true,0.0075966,false,results\tgbc_migration_round\incumbents\v4_hga_tgbc_v6.json
gcap_smoke_V4_M1.txt,20260626,139,hga-tgbc,hga_route_child_gen_4,0.192941,0.102941,0.6,1,3,4,1,3,"553",true,0.0076064,false,results\tgbc_migration_round\incumbents\v4_hga_tgbc_v6.json
gcap_smoke_V4_M1.txt,20260626,140,hga-tgbc,hga_route_child_gen_4,0.0694737,0.0394737,0.2,1,3,4,3,1,"564",true,0.0076135,false,results\tgbc_migration_round\incumbents\v4_hga_tgbc_v6.json
gcap_smoke_V4_M1.txt,20260626,141,hga-tgbc,hga_guided_education_gen_4,0.0694737,0.0394737,0.2,1,3,4,3,1,"564",true,0.0076326,false,results\tgbc_migration_round\incumbents\v4_hga_tgbc_v6.json
gcap_smoke_V4_M1.txt,20260626,142,hga-tgbc,hga_route_child_gen_4,0.222353,0.132353,0.6,1,3,4,1,3,"572",true,0.0076429,false,results\tgbc_migration_round\incumbents\v4_hga_tgbc_v6.json
gcap_smoke_V4_M1.txt,20260626,143,hga-tgbc,hga_route_child_gen_4,0.192941,0.102941,0.6,1,3,4,1,3,"553",true,0.0076533,false,results\tgbc_migration_round\incumbents\v4_hga_tgbc_v6.json
gcap_smoke_V4_M1.txt,20260626,144,hga-tgbc,hga_guided_education_gen_4,0.0694737,0.0394737,0.2,1,3,4,3,1,"555",true,0.0076841,false,results\tgbc_migration_round\incumbents\v4_hga_tgbc_v6.json
gcap_smoke_V4_M1.txt,20260626,145,hga-tgbc,hga_route_child_gen_4,0,0,0,1,4,4,4,0,"581",true,0.0076939,false,results\tgbc_migration_round\incumbents\v4_hga_tgbc_v6.json
gcap_smoke_V4_M1.txt,20260626,146,hga-tgbc,hga_guided_education_gen_4,0,0,0,1,4,4,4,0,"581",true,0.0077344,false,results\tgbc_migration_round\incumbents\v4_hga_tgbc_v6.json
