event_sequence,elapsed_runtime_seconds,work,incumbent_available,incumbent,best_bound_available,best_bound,processed_nodes,open_nodes,solution_count,callback_where,phase,context
94,27.357999801635742,58.303970659950792,true,3.3346217168000121,true,0.54541624979454517,107,107,1.5810100666919889e-322,3,1,MIP
95,27.655999898910522,58.916888000698869,true,3.3346217168000121,true,0.54541624979454517,109,109,1.5810100666919889e-322,3,1,MIP
96,27.925999879837036,59.639095803521293,true,3.3346217168000121,true,0.54541624979454517,110,110,1.5810100666919889e-322,3,1,MIP
97,28.032999992370605,59.814602073685862,true,3.3346217168000121,true,0.54541624979454517,111,111,1.5810100666919889e-322,3,1,MIP
98,28.145999908447266,60.083577412365493,true,3.3346217168000121,true,0.54541624979454517,114,114,1.5810100666919889e-322,3,1,MIP
99,28.253999948501587,60.357481452804848,true,3.3346217168000121,true,0.54541624979454517,116,116,1.5810100666919889e-322,3,1,MIP
100,28.405999898910522,60.621578121603982,true,2.6097384666631527,true,0.54541624979454517,117,117,1.8280428896126122e-322,3,1,MIP
101,28.563999891281128,61.034600748061393,true,2.6097384666631527,true,0.54541624979454517,119,119,1.8280428896126122e-322,3,1,MIP
102,28.700999975204468,61.22535937528982,true,1.6707822088237281,true,0.54541624979454517,120,120,2.1738888417014848e-322,3,1,MIP
103,28.810999870300293,61.469120922350754,true,1.6707822088237281,true,0.54541624979454517,121,121,2.1738888417014848e-322,3,1,MIP
104,28.914999961853027,61.698660390018659,true,1.6707822088237281,true,0.54541624979454517,124,124,2.1738888417014848e-322,3,1,MIP
105,28.996999979019165,61.820181234844561,true,1.6691048050778416,true,0.54541624979454517,125,125,2.2232954062856094e-322,3,1,MIP
106,29.098999977111816,62.045573426941687,true,1.6691048050778416,true,0.54541624979454517,129,127,2.2232954062856094e-322,3,1,MIP
107,29.203999996185303,62.28397494891864,true,1.6691048050778416,true,0.54541624979454517,132,130,2.2232954062856094e-322,3,1,MIP
108,29.345999956130981,62.556243329739395,true,1.6691048050778416,true,0.54541624979454517,134,132,2.2232954062856094e-322,3,1,MIP
109,29.506999969482422,62.942412824527409,true,1.6691048050778416,true,0.54541624979454517,137,135,2.2232954062856094e-322,3,1,MIP
110,29.744999885559082,63.486412423906003,true,1.6691048050778416,true,0.54541624979454517,139,137,2.2232954062856094e-322,3,1,MIP
111,29.902999877929688,63.890370912949614,true,1.6691048050778416,true,0.54541624979454517,141,139,2.2232954062856094e-322,3,1,MIP
112,30.025999784469604,64.158726402445183,true,1.6691048050778416,true,0.54541624979454517,142,140,2.2232954062856094e-322,3,1,MIP
113,30.168999910354614,64.524260753017728,true,1.6691048050778416,true,0.54541624979454517,144,142,2.2232954062856094e-322,3,1,MIP
114,30.427999973297119,65.124492322631781,true,1.6691048050778416,true,0.54541624979454517,146,144,2.2232954062856094e-322,3,1,MIP
115,30.657999992370605,65.698528693773511,true,1.6691048050778416,true,0.54541624979454517,149,147,2.2232954062856094e-322,3,1,MIP
116,30.771999835968018,65.873343583901345,true,1.5316032576927345,true,0.54541624979454517,150,148,2.6185479229586067e-322,3,1,MIP
117,30.882999897003174,66.142948589940474,true,1.5316032576927345,true,0.54541624979454517,153,151,2.6185479229586067e-322,3,1,MIP
118,31.036999940872192,66.541704228743598,true,1.5316032576927345,true,0.54541624979454517,157,155,2.6185479229586067e-322,3,1,MIP
119,31.140999794006348,66.729913031744047,true,1.5316032576927345,true,0.54541624979454517,159,157,2.6185479229586067e-322,3,1,MIP
120,31.316999912261963,67.187559865051767,true,1.5316032576927345,true,0.54541624979454517,163,161,2.6185479229586067e-322,3,1,MIP
121,31.404999971389771,67.310518528384819,true,1.3901567533140735,true,0.54541624979454517,164,162,2.8161741812951053e-322,3,1,MIP
122,31.509999990463257,67.545706219661156,true,1.3901567533140735,true,0.54541624979454517,169,167,2.8161741812951053e-322,3,1,MIP
123,31.611999988555908,67.804772736676341,true,1.3901567533140735,true,0.54541624979454517,174,172,2.8161741812951053e-322,3,1,MIP
124,31.761999845504761,68.104284745197901,true,1.3885834044054359,true,0.54541624979454517,178,176,2.9149873104633546e-322,3,1,MIP
125,31.929999828338623,68.549483364362516,true,1.3885834044054359,true,0.54541624979454517,182,180,2.9149873104633546e-322,3,1,MIP
126,32.129999876022339,68.95364661667621,true,1.3885834044054359,true,0.54541624979454517,190,188,2.9149873104633546e-322,3,1,MIP
127,32.230999946594238,69.202398413107261,true,1.3885834044054359,true,0.54541624979454517,194,192,2.9149873104633546e-322,3,1,MIP
128,32.337999820709229,69.491040079296297,true,1.3885834044054359,true,0.54541624979454517,197,195,2.9149873104633546e-322,3,1,MIP
129,32.73799991607666,70.116090319710423,true,1.3259481430719879,true,0.54541624979454517,198,196,3.1126135687998532e-322,3,1,MIP
130,32.849999904632568,70.383552425952729,true,1.3259481430719879,true,0.54541624979454517,204,202,3.1126135687998532e-322,3,1,MIP
131,32.95199990272522,70.63852725341134,true,1.3259481430719879,true,0.54541624979454517,209,207,3.1126135687998532e-322,3,1,MIP
132,33.188999891281128,71.018207516670202,true,1.3245536115518595,true,0.54541624979454517,214,212,3.3102398271363518e-322,3,1,MIP
133,33.296000003814697,71.273074372339167,true,1.3245536115518595,true,0.54541624979454517,219,217,3.3102398271363518e-322,3,1,MIP
134,33.462999820709229,71.730184728470149,true,1.3245536115518595,true,0.54541624979454517,221,217,3.3102398271363518e-322,3,1,MIP
135,33.805999994277954,72.293583962725535,true,1.3245536115518595,true,0.54541624979454517,223,217,3.3102398271363518e-322,3,1,MIP
136,33.908999919891357,72.535836792261151,true,1.3245536115518595,true,0.54541624979454517,227,221,3.3102398271363518e-322,3,1,MIP
137,34.009999990463257,72.774121055746321,true,1.3245536115518595,true,0.54541624979454517,232,226,3.3102398271363518e-322,3,1,MIP
138,34.233999967575073,73.112003414339242,true,1.3245536115518595,true,0.54541624979454517,234,228,3.3102398271363518e-322,3,1,MIP
139,34.342000007629395,73.345639813888667,true,1.3245536115518595,true,0.54541624979454517,240,234,3.3102398271363518e-322,3,1,MIP
140,34.450999975204468,73.57145884057185,true,1.3245536115518595,true,0.54541624979454517,248,242,3.3102398271363518e-322,3,1,MIP
141,34.631999969482422,73.931612791879587,true,1.3245536115518595,true,0.54541624979454517,253,247,3.3102398271363518e-322,3,1,MIP
142,34.752999782562256,74.207301295931174,true,1.3245536115518595,true,0.54541624979454517,259,251,3.3102398271363518e-322,3,1,MIP
143,35.001999855041504,74.616135095286097,true,1.3245536115518595,true,0.54541624979454517,267,258,3.3102398271363518e-322,3,1,MIP
144,35.110999822616577,74.837580106035674,true,1.3245536115518595,true,0.54541624979454517,275,266,3.3102398271363518e-322,3,1,MIP
145,35.210999965667725,75.013468659366225,true,1.3245536115518595,true,0.54541624979454517,285,276,3.3102398271363518e-322,3,1,MIP
146,35.381999969482422,75.300958599962584,true,1.3245536115518595,true,0.54541624979454517,291,282,3.3102398271363518e-322,3,1,MIP
147,35.483999967575073,75.511435508755426,true,1.3245536115518595,true,0.54541624979454517,299,290,3.3102398271363518e-322,3,1,MIP
148,35.584999799728394,75.72670008879868,true,1.3245536115518595,true,0.54541624979454517,307,298,3.3102398271363518e-322,3,1,MIP
149,36.026999950408936,76.420887992280981,true,1.277148274689889,true,0.54541624979454517,315,306,3.5572726500569751e-322,3,1,MIP
150,36.144999980926514,76.657483008598575,true,1.277148274689889,true,0.54541624979454517,326,317,3.5572726500569751e-322,3,1,MIP
151,36.247999906539917,76.891516905671779,true,1.277148274689889,true,0.54541624979454517,334,325,3.5572726500569751e-322,3,1,MIP
152,36.375,77.161603572735217,true,1.277148274689889,true,0.54541624979454517,342,332,3.5572726500569751e-322,3,1,MIP
153,36.471999883651733,77.297889988663968,true,1.2764272443371822,true,0.54541624979454517,344,332,3.7548989083934737e-322,3,1,MIP
154,36.57699990272522,77.525442392373947,true,1.2764272443371822,true,0.54541624979454517,354,342,3.7548989083934737e-322,3,1,MIP
155,36.680999994277954,77.732470726358429,true,1.2764272443371822,true,0.54541624979454517,364,352,3.7548989083934737e-322,3,1,MIP
