completion_sequence_number,completion_timestamp_utc,scenario_id,dataset_family,V,geographic_regime,inventory_regime,replicate,M,Q,T,method,method_label,run_stage,process_cap_seconds,actual_wall_time_seconds,gurobi_work,native_status,strict_certificate,verified_incumbent_available,objective,G,P,valid_lower_bound,verified_upper_bound,absolute_gap,relative_gap,scaled_gap,nodes,simplex_iterations,split_count,interval_count,route_witness_status,expected_model_fingerprint,actual_model_fingerprint,fingerprint_match,completion_marker_path,result_path,run_identity_sha256,result_sha256,next_action,notes
102,2026-09-02T11:55:23.130451+00:00,cb443_V20_regional_r2_shortage_M03_Q30_T03600,citibike443-regional-v1,20,regional,shortage,2,3,30,3600,k1_am_sf,K1-AM-SF,long_10800,10800,10798.207318,24423.137525754795,round31_c6_external_gini_tree_time_limit,False,True,0.5150591127753121,0.2605823950162117,1.6965114517273365,0.4147593699564803,0.5150591127753121,0.10029974281883186,0.19473443014799416,0.10029974281883186,236203,72228418,0,1,verified_native_incumbent,,,,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V20_regional_r2_shortage_M03_Q30_T03600/k1_am_sf/long_10800/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V20_regional_r2_shortage_M03_Q30_T03600/k1_am_sf/long_10800/result.json,1f5d9dfdc2d7623d550b853163b57f7d213c472bb9adb8650b6188a9b360d524,4dfc1213e4f07027b3ae166732cf6eec4fd26854466c9e72df798d134c971ec3,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
127,2026-09-05T14:39:46.931592+00:00,cb443_V30_compact_r1_shortage_M03_Q30_T18000,citibike443-regional-v1,30,compact,shortage,1,3,30,18000,k1_am_sf,K1-AM-SF,long_10800,10800,10798.2405709,21447.69724174435,round31_c6_external_gini_tree_time_limit,False,True,0.15708313110317407,0.0276361189802119,0.8629800808197478,0.15058084346776454,0.15708313110317407,0.006502287635409526,0.04139392683189353,0.006502287635409526,208201,39402476,1,2,verified_native_incumbent,,,,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V30_compact_r1_shortage_M03_Q30_T18000/k1_am_sf/long_10800/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V30_compact_r1_shortage_M03_Q30_T18000/k1_am_sf/long_10800/result.json,22582de9c32210c77a95f0449f823a67e8b0a883b0cfa8ef7e2b690aac278983,d8dea6b25a43d46842a2c0cd0124a67b41857feee9ceec33624afe645472f8ae,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
126,2026-09-05T11:39:43.293678+00:00,cb443_V30_compact_r1_shortage_M03_Q30_T18000,citibike443-regional-v1,30,compact,shortage,1,3,30,18000,pgrb,P-GRB,long_10800,10800,10798.4062414,23530.956946496983,TIME_LIMIT,False,True,0.15724117585229214,0.03787648951880368,0.7957645755565899,0.1536106208994493,0.15724117585229214,0.0036305549528428405,0.023089085496621316,0.0036305549528428405,220410,59848871,,,verified_native_incumbent,974605734,974605734,True,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V30_compact_r1_shortage_M03_Q30_T18000/pgrb/long_10800/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V30_compact_r1_shortage_M03_Q30_T18000/pgrb/long_10800/result.json,a7f610de3fce068b9c528c26f0acff9e9338b8e9998a988ddb7f7ef2b847110c,a2f369dcea017f0023d04914f57375026db124c96d94c97058ff10187a8b47a1,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
128,2026-09-05T17:39:50.720623+00:00,cb443_V30_regional_r1_balanced_M03_Q30_T03600,citibike443-regional-v1,30,regional,balanced,1,3,30,3600,k1_am_sf,K1-AM-SF,long_10800,10800,10798.1031351,28653.70320743298,round31_c6_external_gini_tree_time_limit,False,True,0.39027501914283436,0.17233635870327396,1.452924402930403,0.32091708602015223,0.39027501914283436,0.06935793312268212,0.17771553320274963,0.06935793312268212,36339,29230925,0,1,verified_native_incumbent,,,,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V30_regional_r1_balanced_M03_Q30_T03600/k1_am_sf/long_10800/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V30_regional_r1_balanced_M03_Q30_T03600/k1_am_sf/long_10800/result.json,036462acd03491844ae209650e020c4fdc81073d0479b7192824f970d95a6a94,c071f116daa2e681486d890f7d26caf9bbc514fd0aa06909dd433bae0e377ec7,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
129,2026-09-05T20:39:54.543382+00:00,cb443_V30_regional_r1_balanced_M03_Q30_T03600,citibike443-regional-v1,30,regional,balanced,1,3,30,3600,pgrb,P-GRB,long_10800,10800,10798.4941316,23190.359036589023,TIME_LIMIT,False,True,0.39092036045820516,0.17215524585197808,1.4584340973748473,0.2872956436181594,0.39092036045820516,0.10362471684004576,0.26507884296071266,0.10362471684004576,202447,49126560,,,verified_native_incumbent,394887790,394887790,True,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V30_regional_r1_balanced_M03_Q30_T03600/pgrb/long_10800/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V30_regional_r1_balanced_M03_Q30_T03600/pgrb/long_10800/result.json,310f7fbca1be427e58cdd3943babe2c5b5e74f12c875577fb846178b973b24fc,bc8a6f8aa3062178ec1bc3befb275cc0dd1402ca5b3506ee524c099733ec056b,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
131,2026-09-06T16:04:41.968577+00:00,cb443_V50_compact_r1_surplus_M04_Q30_T03600,citibike443-regional-v1,50,compact,surplus,1,4,30,3600,k1_am_sf,K1-AM-SF,long_10800,10800,10798.1391692,32554.332973041357,round31_c6_external_gini_tree_time_limit,False,True,1.2331005033155256,0.23922356227968647,6.625846273572261,1.0317310052085398,1.2331005033155256,0.2013694981069858,0.16330339462643087,0.16330339462643087,3112,6812403,0,1,verified_native_incumbent,,,,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V50_compact_r1_surplus_M04_Q30_T03600/k1_am_sf/long_10800/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V50_compact_r1_surplus_M04_Q30_T03600/k1_am_sf/long_10800/result.json,2762991c909c73eb1d238619823153037cf023220e950b8a5f38164da484382a,e0c91acde26b533df1f67dfacf7e9f322e696fd7494bf7fedf04492e98dd2b29,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
130,2026-09-05T23:39:58.814795+00:00,cb443_V50_compact_r1_surplus_M04_Q30_T03600,citibike443-regional-v1,50,compact,surplus,1,4,30,3600,pgrb,P-GRB,long_10800,10800,10798.2396882,23945.175778362303,TIME_LIMIT,False,True,1.2465728684740134,0.2428319245360763,6.69160629291958,0.9418575884865291,1.2465728684740134,0.30471527998748427,0.24444241302997402,0.24444241302997402,35861,12814036,,,verified_native_incumbent,-1670953382,-1670953382,True,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V50_compact_r1_surplus_M04_Q30_T03600/pgrb/long_10800/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V50_compact_r1_surplus_M04_Q30_T03600/pgrb/long_10800/result.json,e3d3c32fb2a23f732b83ddca140ec3e35042cd3aeaa001902f21d05ee4c51297,e2e2b889ff288ea72f0338f2a3ad8138879dde1367de0e9c162f0a652b7b8f82,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
132,2026-09-06T19:04:45.399928+00:00,cb443_V50_regional_r1_shortage_M04_Q30_T03600,citibike443-regional-v1,50,regional,shortage,1,4,30,3600,k1_am_sf,K1-AM-SF,long_10800,10800,10798.1126027,30711.71750689734,round31_c6_external_gini_tree_time_limit,False,True,1.1479599483529417,0.3421718769097076,5.371920476288227,0.9376112732047348,1.1479599483529417,0.21034867514820688,0.18323694607116633,0.18323694607116633,2783,8005871,0,1,verified_native_incumbent,,,,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V50_regional_r1_shortage_M04_Q30_T03600/k1_am_sf/long_10800/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V50_regional_r1_shortage_M04_Q30_T03600/k1_am_sf/long_10800/result.json,4c9ce8931c49012b9da25ab0cc6532d271fb806ae1c33838dcf0879a6a277c59,0c993e99441e768448adacc1c47deeed3fdff27e3b42468ab47e76efffbecdbd,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
133,2026-09-06T22:04:48.668541+00:00,cb443_V50_regional_r1_shortage_M04_Q30_T03600,citibike443-regional-v1,50,regional,shortage,1,4,30,3600,pgrb,P-GRB,long_10800,10800,10798.2035994,24549.588634952943,TIME_LIMIT,False,True,1.1871800877683896,0.34456728418240745,5.617418690573214,0.8114221426366475,1.1871800877683896,0.3757579451317421,0.31651301180267927,0.31651301180267927,26964,11663197,,,verified_native_incumbent,-579451465,-579451465,True,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V50_regional_r1_shortage_M04_Q30_T03600/pgrb/long_10800/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V50_regional_r1_shortage_M04_Q30_T03600/pgrb/long_10800/result.json,cabaed5d88d1d7f4dc2e20dd649af9cc931336f7b61359a03278360c1a27b467,8b37815d493ffb3ef04c1523d5717513ce17ce0cd1b6f8e7f297d55029577491,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
134,2026-09-07T01:04:51.954249+00:00,cb443_V50_regional_r1_shortage_M04_Q30_T18000,citibike443-regional-v1,50,regional,shortage,1,4,30,18000,k1_am_sf,K1-AM-SF,long_10800,10800,10798.1197068,26925.322784238928,round31_c6_external_gini_tree_time_limit,False,True,0.21564407531579494,0.03872267378877319,1.179476010180145,0.20035903678613756,0.21564407531579494,0.015285038529657374,0.07088086471781595,0.015285038529657374,5317,15784763,2,3,verified_native_incumbent,,,,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V50_regional_r1_shortage_M04_Q30_T18000/k1_am_sf/long_10800/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V50_regional_r1_shortage_M04_Q30_T18000/k1_am_sf/long_10800/result.json,3b0c6ac73c6d57fbb21b4e29c7d32f5990ae972f7debba8d0e8621665bf0c1de,4e4dde610b48e82cf04c7016c927fcf8985d4f52a821b805d43fe188e62172c3,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
135,2026-09-07T04:04:56.397586+00:00,cb443_V50_regional_r1_shortage_M04_Q30_T18000,citibike443-regional-v1,50,regional,shortage,1,4,30,18000,pgrb,P-GRB,long_10800,10800,10798.2160776,22464.20169146495,TIME_LIMIT,False,True,0.21959755175403461,0.041174780956551665,1.1894851386498864,0.19920237359855533,0.21959755175403461,0.020395178155479282,0.09287525290046666,0.020395178155479282,28751,15727451,,,verified_native_incumbent,-373258443,-373258443,True,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V50_regional_r1_shortage_M04_Q30_T18000/pgrb/long_10800/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V50_regional_r1_shortage_M04_Q30_T18000/pgrb/long_10800/result.json,bbc2595c883a440795b621018afe9b25c27f5a8b3808307b14f7f211ecfb0064,be55a1e2b5e4cfc2aacd6df808bc9b5bd9a0b99771df53bd955d29e5f624d2c6,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
