file,method,instance_name,finalization_source,lower_bound,best_valid_lb_seen,gap,best_valid_gap_seen,audit_passed,failures
E:\codes\ExactEBRP\results\gf_tailored_bc_controlling_leaf_scheduler_round\raw\official__high_imbalance_seed3201__tailored_controlling_scheduler_static__300s_auto_oracle\interval_2.json,interval-cutoff-oracle,high_imbalance_seed3201.txt,cplex_time_limit_with_valid_best_bound,2.27410086531,2.27410086531,0.0692895577742,0.0692895577742,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_controlling_leaf_scheduler_round\raw\official__high_imbalance_seed3201__tailored_controlling_scheduler_static__300s_auto_oracle\interval_3.json,interval-cutoff-oracle,high_imbalance_seed3201.txt,cplex_solver_final,2.44340319194,2.44340319194,0.0,0.0,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_controlling_leaf_scheduler_round\raw\official__high_imbalance_seed3201__tailored_controlling_scheduler_static__900s.json,gcap-frontier,high_imbalance_seed3201.txt,solver_final_json,2.299943,2.299943,0.058713270252,0.058713270252,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_controlling_leaf_scheduler_round\raw\official__high_imbalance_seed3201__tailored_controlling_scheduler_static__900s_auto_oracle\interval_1.json,interval-cutoff-oracle,high_imbalance_seed3201.txt,cplex_time_limit_with_valid_best_bound,2.29994319444,2.29994319444,0.0587131906747,0.0587131906747,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_controlling_leaf_scheduler_round\raw\official__high_imbalance_seed3201__tailored_controlling_scheduler_static__900s_auto_oracle\interval_2.json,interval-cutoff-oracle,high_imbalance_seed3201.txt,cplex_time_limit_with_valid_best_bound,2.30801550822,2.30801550822,0.055409473219,0.055409473219,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_controlling_leaf_scheduler_round\raw\official__high_imbalance_seed3201__tailored_controlling_scheduler_static__900s_auto_oracle\interval_3.json,interval-cutoff-oracle,high_imbalance_seed3201.txt,cplex_solver_final,2.44340319194,2.44340319194,0.0,0.0,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_controlling_leaf_scheduler_round\raw\official__high_imbalance_seed3201__tailored_legacy_scheduler_static__1800s.json,gcap-frontier,high_imbalance_seed3201.txt,solver_final_json,2.303377,2.303377,0.0573078534091,0.0573078534091,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_controlling_leaf_scheduler_round\raw\official__high_imbalance_seed3201__tailored_legacy_scheduler_static__1800s_auto_oracle\interval_8.json,interval-cutoff-oracle,high_imbalance_seed3201.txt,cplex_time_limit_with_valid_best_bound,2.30337712653,2.30337712653,0.0573078016233,0.0573078016233,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_controlling_leaf_scheduler_round\raw\official__high_imbalance_seed3201__tailored_legacy_scheduler_static__1800s_auto_oracle\interval_9.json,interval-cutoff-oracle,high_imbalance_seed3201.txt,cplex_time_limit_with_valid_best_bound,2.43296756607,2.43296756607,0.00427093895521,0.00427093895521,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_controlling_leaf_scheduler_round\raw\official__high_imbalance_seed3201__tailored_legacy_scheduler_static__300s.json,gcap-frontier,high_imbalance_seed3201.txt,solver_final_json,2.294618,2.294618,0.0608926076686,0.0608926076686,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_controlling_leaf_scheduler_round\raw\official__high_imbalance_seed3201__tailored_legacy_scheduler_static__300s_auto_oracle\interval_2.json,interval-cutoff-oracle,high_imbalance_seed3201.txt,cplex_time_limit_with_valid_best_bound,2.2946177712,2.2946177712,0.0608927013082,0.0608927013082,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_controlling_leaf_scheduler_round\raw\official__high_imbalance_seed3201__tailored_legacy_scheduler_static__300s_auto_oracle\interval_3.json,interval-cutoff-oracle,high_imbalance_seed3201.txt,cplex_solver_final,2.44340319194,2.44340319194,0.0,0.0,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_controlling_leaf_scheduler_round\raw\official__high_imbalance_seed3201__tailored_legacy_scheduler_static__300s_auto_oracle\interval_5.json,interval-cutoff-oracle,high_imbalance_seed3201.txt,cplex_time_limit_with_valid_best_bound,2.30070396818,2.30070396818,0.0584018324256,0.0584018324256,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_controlling_leaf_scheduler_round\raw\official__high_imbalance_seed3201__tailored_legacy_scheduler_static__900s.json,gcap-frontier,high_imbalance_seed3201.txt,solver_final_json,2.289985,2.289985,0.0627887335373,0.0627887335373,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_controlling_leaf_scheduler_round\raw\official__high_imbalance_seed3201__tailored_legacy_scheduler_static__900s_auto_oracle\interval_8.json,interval-cutoff-oracle,high_imbalance_seed3201.txt,cplex_time_limit_with_valid_best_bound,2.28998501236,2.28998501236,0.062788728477,0.062788728477,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_controlling_leaf_scheduler_round\raw\official__high_imbalance_seed3201__tailored_legacy_scheduler_static__900s_auto_oracle\interval_9.json,interval-cutoff-oracle,high_imbalance_seed3201.txt,cplex_time_limit_with_valid_best_bound,2.38308012842,2.38308012842,0.024688133226,0.024688133226,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_controlling_leaf_scheduler_round\raw\official__high_imbalance_seed3202__plain_cplex__1800s.json,cplex,high_imbalance_seed3202.txt,solver_final_json,1.1960100056,1.1960100056,0.324797342352,0.324797342352,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_controlling_leaf_scheduler_round\raw\official__high_imbalance_seed3202__plain_cplex__300s.json,cplex,high_imbalance_seed3202.txt,solver_final_json,1.066448157,1.066448157,0.624889606668,0.624889606668,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_controlling_leaf_scheduler_round\raw\official__high_imbalance_seed3202__plain_cplex__900s.json,cplex,high_imbalance_seed3202.txt,solver_final_json,1.1404943279,1.1404943279,0.358358101193,0.358358101193,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_controlling_leaf_scheduler_round\raw\official__high_imbalance_seed3202__tailored_controlling_scheduler_static__1800s.json,gcap-frontier,high_imbalance_seed3202.txt,solver_final_json,1.729682,1.729682,0.0112223752854,0.0112223752854,True,
