result_package,fresh_run,source_round,instance,budget_seconds,interval_id,gamma_L,gamma_U,status,lower_bound,closure_source,paper_core_valid,source_csv_path
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,moderate_seed3302,14400,7,0.0366817887279,0.0489090516373,unresolved,0.0366817887279,unresolved,True,results/gf_tailored_bc_route_profile_full_frontier_round/raw/moderate_seed3302_tailored_14400s.intervals.csv
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,moderate_seed3302,14400,8,0.0244545258186,0.0305681572733,replaced_by_children,0.0244545258186,unresolved,True,results/gf_tailored_bc_route_profile_full_frontier_round/raw/moderate_seed3302_tailored_14400s.intervals.csv
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,moderate_seed3302,14400,9,0.0305681572733,0.0366817887279,unresolved,0.0593036731592,bpc_exact_tree,True,results/gf_tailored_bc_route_profile_full_frontier_round/raw/moderate_seed3302_tailored_14400s.intervals.csv
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,moderate_seed3302,14400,10,0.0244545258186,0.027511341546,replaced_by_children,0.0244545258186,unresolved,True,results/gf_tailored_bc_route_profile_full_frontier_round/raw/moderate_seed3302_tailored_14400s.intervals.csv
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,moderate_seed3302,14400,11,0.027511341546,0.0305681572733,unresolved,0.0593036731592,bpc_exact_tree,True,results/gf_tailored_bc_route_profile_full_frontier_round/raw/moderate_seed3302_tailored_14400s.intervals.csv
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,moderate_seed3302,14400,12,0.0244545258186,0.0259829336823,bound_fathomed,0.195636206549,relaxation_bound,True,results/gf_tailored_bc_route_profile_full_frontier_round/raw/moderate_seed3302_tailored_14400s.intervals.csv
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,moderate_seed3302,14400,13,0.0259829336823,0.027511341546,replaced_by_children,0.0259829336823,unresolved,True,results/gf_tailored_bc_route_profile_full_frontier_round/raw/moderate_seed3302_tailored_14400s.intervals.csv
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,moderate_seed3302,14400,14,0.0259829336823,0.0267471376141,replaced_by_children,0.0259829336823,unresolved,True,results/gf_tailored_bc_route_profile_full_frontier_round/raw/moderate_seed3302_tailored_14400s.intervals.csv
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,moderate_seed3302,14400,15,0.0267471376141,0.027511341546,bound_fathomed,0.195636206549,relaxation_bound,True,results/gf_tailored_bc_route_profile_full_frontier_round/raw/moderate_seed3302_tailored_14400s.intervals.csv
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,moderate_seed3302,14400,16,0.0259829336823,0.0263650356482,bound_fathomed,0.195636206549,relaxation_bound,True,results/gf_tailored_bc_route_profile_full_frontier_round/raw/moderate_seed3302_tailored_14400s.intervals.csv
