run_id,instance,arm,optimize_count,lp_optimize_count,partial_mip_optimize_count,terminal_mip_optimize_count,presolve_executions,root_executions,splits,declined_splits,lp_cutoff_prunes,partial_bound_events,partial_targets_reached,open_leaves,closed_leaves,total_work,lp_work,partial_mip_work,terminal_mip_work,lifecycle_complete
stage2__moderate_seed3302__p_grb__300s,moderate_seed3302,P-GRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
stage2__tight_T_seed3101__p_grb__300s,tight_T_seed3101,P-GRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
stage2__high_imbalance_seed4201__p_grb__300s,high_imbalance_seed4201,P-GRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
stage2__high_imbalance_seed4201__c4_candidate__300s,high_imbalance_seed4201,C4-CANDIDATE,55,52,0,3,55,3,24,0,0,0,0,23,5,494.23605846710416,35.87866973952537,0,458.3573887275788,True
stage2__high_imbalance_seed4201__c5_candidate__300s,high_imbalance_seed4201,C5-CANDIDATE,55,46,7,2,55,9,13,2,0,14,7,13,4,517.2656108967803,31.591798804599907,7.0067690984242885,478.66704299375624,True
stage2__moderate_seed4302__p_grb__300s,moderate_seed4302,P-GRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
stage2__moderate_seed4302__c4_candidate__300s,moderate_seed4302,C4-CANDIDATE,8,6,0,2,8,2,0,2,0,0,0,3,1,538.4440353812082,1.758843538743812,0,536.6851918424644,True
stage2__moderate_seed4302__c5_candidate__300s,moderate_seed4302,C5-CANDIDATE,8,6,0,2,8,2,0,2,0,0,0,3,1,537.9100957616512,1.758843538743812,0,536.1512522229074,True
stage2__tight_T_seed4101__p_grb__300s,tight_T_seed4101,P-GRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
stage2__tight_T_seed4101__c4_candidate__300s,tight_T_seed4101,C4-CANDIDATE,7,6,0,1,7,1,1,1,0,0,0,4,1,595.4417055653352,3.142773730896485,0,592.2989318344387,True
stage2__tight_T_seed4101__c5_candidate__300s,tight_T_seed4101,C5-CANDIDATE,7,6,0,1,7,1,1,1,0,0,0,4,1,594.0994509360603,3.142773730896485,0,590.9566772051638,True
stage2__high_imbalance_seed5202__p_grb__300s,high_imbalance_seed5202,P-GRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
stage2__high_imbalance_seed5202__c4_candidate__300s,high_imbalance_seed5202,C4-CANDIDATE,35,34,0,1,35,1,15,0,0,0,0,15,4,537.1533600493277,22.187398526675064,0,514.9659615226526,True
stage2__high_imbalance_seed5202__c5_candidate__300s,high_imbalance_seed5202,C5-CANDIDATE,34,30,3,1,34,4,10,1,0,6,3,10,4,529.3562412772714,19.433607411551478,2.71898754411498,507.20364632160494,True
stage2__high_imbalance_seed5203__p_grb__300s,high_imbalance_seed5203,P-GRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
stage2__high_imbalance_seed5203__c4_candidate__300s,high_imbalance_seed5203,C4-CANDIDATE,76,58,0,18,76,18,26,1,0,0,0,11,19,524.2096675303001,36.837792889505174,0,487.37187464079483,True
stage2__high_imbalance_seed5203__c5_candidate__300s,high_imbalance_seed5203,C5-CANDIDATE,142,102,14,26,142,40,29,20,0,28,14,0,33,429.966404925833,66.11280801252744,12.166678173841802,351.6869187394639,True
stage2__moderate_seed5301__p_grb__300s,moderate_seed5301,P-GRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
stage2__moderate_seed5301__c4_candidate__300s,moderate_seed5301,C4-CANDIDATE,449,306,0,143,449,143,152,0,0,0,0,13,143,562.6128488363591,245.37407021202517,0,317.2387786243339,True
stage2__moderate_seed5301__c5_candidate__300s,moderate_seed5301,C5-CANDIDATE,97,71,14,12,97,26,17,12,0,28,10,5,16,519.684199364149,56.8286299883234,18.206937704663797,444.64863167116175,True
stage2__moderate_seed5302__p_grb__300s,moderate_seed5302,P-GRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
stage2__moderate_seed5302__c4_candidate__300s,moderate_seed5302,C4-CANDIDATE,59,51,0,8,59,8,25,0,0,0,0,22,7,568.8224845997472,40.041865048137474,0,528.7806195516098,True
stage2__moderate_seed5302__c5_candidate__300s,moderate_seed5302,C5-CANDIDATE,10,7,1,2,10,3,1,2,0,2,1,4,1,556.0238278080949,5.186035276632156,1.2304593326748026,549.607333198788,True
stage2__tight_T_seed5102__p_grb__300s,tight_T_seed5102,P-GRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
stage2__tight_T_seed5103__p_grb__300s,tight_T_seed5103,P-GRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
