run_id,node_uid,parent_uid,event,row_attachment_mode,theoretical_full_rows,theoretical_full_bounds,inherited_rows,inherited_bounds,exact_duplicate_rows_omitted,identical_bounds_omitted,dominance_omissions,delta_rows_attached,delta_bounds_attached,row_factory_seconds,families,aggregate_signature,status,failure_reason
stage1__tight_T_seed3101__parent_delta__300s,128,123,branch_bounds_only,exact-incremental-delta,1442,42,10982,42,1191,41,0,0,1,0.0144008,direct_gini_floor|gini_interval_bound|interval_tight_mccormick_G_bit|penalty_deviation_upper_bound,17efdfa54114720d,passed,
stage1__tight_T_seed3101__parent_delta__300s,124,119,deferred_first_relaxation_attach,exact-incremental-delta,1442,42,9801,42,1191,42,0,251,0,0.0144668,direct_gini_floor|interval_tight_mccormick_G_bit|penalty_deviation_upper_bound,ca1830df9083982d,passed,
stage1__tight_T_seed3101__parent_delta__300s,129,124,branch_bounds_only,exact-incremental-delta,1442,42,10052,42,261,41,0,0,1,0.0155195,direct_gini_cap|gini_interval_bound|gini_pairwise_spread|interval_tight_mccormick_G_bit|low_gini_centering_band|variable_s_low_gini_centering,485d3a2686177e43,passed,
stage1__tight_T_seed3101__parent_delta__300s,130,124,branch_bounds_only,exact-incremental-delta,1442,42,10052,42,1191,41,0,0,1,0.0148849,direct_gini_floor|gini_interval_bound|interval_tight_mccormick_G_bit|penalty_deviation_upper_bound,3d2dda2437427996,passed,
stage1__tight_T_seed3101__parent_delta__300s,127,123,deferred_first_relaxation_attach,exact-incremental-delta,1442,42,10982,42,261,42,0,1181,0,0.014531000000000001,direct_gini_cap|gini_pairwise_spread|interval_tight_mccormick_G_bit|low_gini_centering_band|variable_s_low_gini_centering,aa2a9c21dac63397,passed,
stage1__tight_T_seed3101__parent_delta__300s,128,123,deferred_first_relaxation_attach,exact-incremental-delta,1442,42,10982,42,1191,42,0,251,0,0.0144653,direct_gini_floor|interval_tight_mccormick_G_bit|penalty_deviation_upper_bound,17efdfa54114720d,passed,
stage1__tight_T_seed3101__parent_delta__300s,20,16,deferred_first_relaxation_attach,exact-incremental-delta,1442,42,5873,42,1191,42,0,251,0,0.0145655,direct_gini_floor|interval_tight_mccormick_G_bit|penalty_deviation_upper_bound,b8079d97fce8e3b3,passed,
stage1__tight_T_seed3101__parent_delta__300s,219,20,branch_bounds_only,exact-incremental-delta,1442,42,6124,42,261,41,0,0,1,0.014716999999999999,direct_gini_cap|gini_interval_bound|gini_pairwise_spread|interval_tight_mccormick_G_bit|low_gini_centering_band|variable_s_low_gini_centering,1522f041d9128062,passed,
stage1__tight_T_seed3101__parent_delta__300s,220,20,branch_bounds_only,exact-incremental-delta,1442,42,6124,42,1191,41,0,0,1,0.0145442,direct_gini_floor|gini_interval_bound|interval_tight_mccormick_G_bit|penalty_deviation_upper_bound,bb7f1658dd63c95c,passed,
stage1__tight_T_seed3101__parent_delta__300s,219,20,deferred_first_relaxation_attach,exact-incremental-delta,1442,42,6124,42,261,42,0,1181,0,0.014801399999999999,direct_gini_cap|gini_pairwise_spread|interval_tight_mccormick_G_bit|low_gini_centering_band|variable_s_low_gini_centering,1522f041d9128062,passed,
stage1__tight_T_seed3101__parent_delta__300s,221,219,branch_bounds_only,exact-incremental-delta,1442,42,7305,42,261,41,0,0,1,0.0143316,direct_gini_cap|gini_interval_bound|gini_pairwise_spread|interval_tight_mccormick_G_bit|low_gini_centering_band|variable_s_low_gini_centering,79abb1cac259515b,passed,
