leaf_id,solve_kind,native_status,optimize_return_code,global_deadline_remaining_at_launch,solver_runtime,work,nodes,simplex_iterations,barrier_iterations,memory_gb,model_sha256,native_log
L0.0.1.0.1.1,LP,"OPTIMAL",0,12.8154,0.14,0.403162,0,1695,0,0.0296434,a4791d0f533d4c0222ddcadb3ae2d56f3107ff141d47c6ac552d195763054d7a,"E:\codes\ExactEBRP\results\gf_paper_safe_gurobi_scheduling_round27\runs\sentinel__moderate_seed4301__c2_paper__60s\external\native_logs\L0.0.1.0.1.1_lp.gurobi.log"
L0.0.1.0.1.0.0,LP,"OPTIMAL",0,12.5296,0.15,0.435028,0,1796,0,0.0296434,ece959c6e745e5b9bd6ae74e1e545325e04b2045a1779df9e60892758d013cd4,"E:\codes\ExactEBRP\results\gf_paper_safe_gurobi_scheduling_round27\runs\sentinel__moderate_seed4301__c2_paper__60s\external\native_logs\L0.0.1.0.1.0.0_lp.gurobi.log"
L0.0.1.0.1.0.1,LP,"OPTIMAL",0,12.2311,0.138,0.397397,0,1593,0,0.0296434,852724c43fc4d00f89ebe90b486c6b2712c3cfd1d936e98e05c027463caf0725,"E:\codes\ExactEBRP\results\gf_paper_safe_gurobi_scheduling_round27\runs\sentinel__moderate_seed4301__c2_paper__60s\external\native_logs\L0.0.1.0.1.0.1_lp.gurobi.log"
L0.0.1.0.1.0.0,MIP,"INFEASIBLE",0,12.0572,0.0079999,0.0158877,0,0,0,0.0296434,ece959c6e745e5b9bd6ae74e1e545325e04b2045a1779df9e60892758d013cd4,"E:\codes\ExactEBRP\results\gf_paper_safe_gurobi_scheduling_round27\runs\sentinel__moderate_seed4301__c2_paper__60s\external\native_logs\L0.0.1.0.1.0.0_terminal_mip.gurobi.log"
L0.0.1.0.1.0.1,MIP,"INFEASIBLE",0,12.0154,0.00800014,0.0158681,0,0,0,0.0296434,852724c43fc4d00f89ebe90b486c6b2712c3cfd1d936e98e05c027463caf0725,"E:\codes\ExactEBRP\results\gf_paper_safe_gurobi_scheduling_round27\runs\sentinel__moderate_seed4301__c2_paper__60s\external\native_logs\L0.0.1.0.1.0.1_terminal_mip.gurobi.log"
L0.0.1.0.1.1.0,LP,"OPTIMAL",0,11.8616,0.133,0.381733,0,1644,0,0.0296434,16359bb098cbd83da2a48782a5ed01795498675a77803f126f709a40f48de3ca,"E:\codes\ExactEBRP\results\gf_paper_safe_gurobi_scheduling_round27\runs\sentinel__moderate_seed4301__c2_paper__60s\external\native_logs\L0.0.1.0.1.1.0_lp.gurobi.log"
L0.0.1.0.1.1.1,LP,"OPTIMAL",0,11.5787,0.157,0.434885,0,1738,0,0.0296434,c5332ab796420fbaae92db7ffc4bada4d8e986a9870dedbbd4327a4d6f56469f,"E:\codes\ExactEBRP\results\gf_paper_safe_gurobi_scheduling_round27\runs\sentinel__moderate_seed4301__c2_paper__60s\external\native_logs\L0.0.1.0.1.1.1_lp.gurobi.log"
L0.0.1.0.1.1.0,MIP,"INFEASIBLE",0,11.3849,0.00699997,0.0164216,0,0,0,0.0296434,16359bb098cbd83da2a48782a5ed01795498675a77803f126f709a40f48de3ca,"E:\codes\ExactEBRP\results\gf_paper_safe_gurobi_scheduling_round27\runs\sentinel__moderate_seed4301__c2_paper__60s\external\native_logs\L0.0.1.0.1.1.0_terminal_mip.gurobi.log"
L0.0.1.0.1.1.1,MIP,"INFEASIBLE",0,11.3432,0.0079999,0.0164228,0,0,0,0.0296434,c5332ab796420fbaae92db7ffc4bada4d8e986a9870dedbbd4327a4d6f56469f,"E:\codes\ExactEBRP\results\gf_paper_safe_gurobi_scheduling_round27\runs\sentinel__moderate_seed4301__c2_paper__60s\external\native_logs\L0.0.1.0.1.1.1_terminal_mip.gurobi.log"
L0.0.1.1.0,LP,"OPTIMAL",0,11.1866,0.161,0.462116,0,1761,0,0.0296434,210db0fe13e4b49f98a57609e70b0af399100ae5862bfa8a5e5818b928634c73,"E:\codes\ExactEBRP\results\gf_paper_safe_gurobi_scheduling_round27\runs\sentinel__moderate_seed4301__c2_paper__60s\external\native_logs\L0.0.1.1.0_lp.gurobi.log"
