source_csv,interval_id,gamma_L,gamma_U,status,certificate_basis,closure_source_class,bound_valid,best_bound,bound_used_for_merge,gap_to_cutoff,runtime_seconds
results\gf_compact_bc_effectiveness_round\raw\exact_V12_M1_300s.intervals.csv,0,0,0.0893001458021,bound_fathomed,inventory_route_gini_relaxation_fathomed,relaxation_only,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_V12_M1_300s.intervals.csv,1,0.0893001458021,0.178600291604,bound_fathomed,inventory_route_gini_relaxation_fathomed,relaxation_only,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_V12_M1_300s.intervals.csv,2,0.178600291604,0.267900437406,replaced_by_children,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_V12_M1_300s.intervals.csv,3,0.267900437406,0.357200583208,bound_fathomed,inventory_route_gini_relaxation_fathomed,relaxation_only,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_V12_M1_300s.intervals.csv,4,0.178600291604,0.223250364505,replaced_by_children,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_V12_M1_300s.intervals.csv,5,0.223250364505,0.267900437406,replaced_by_children,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_V12_M1_300s.intervals.csv,6,0.178600291604,0.200925328055,bound_fathomed,inventory_route_gini_relaxation_fathomed,relaxation_only,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_V12_M1_300s.intervals.csv,7,0.200925328055,0.223250364505,replaced_by_children,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_V12_M1_300s.intervals.csv,8,0.223250364505,0.245575400956,replaced_by_children,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_V12_M1_300s.intervals.csv,9,0.245575400956,0.267900437406,replaced_by_children,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_V12_M1_300s.intervals.csv,10,0.200925328055,0.21208784628,bound_fathomed,inventory_route_gini_relaxation_fathomed,relaxation_only,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_V12_M1_300s.intervals.csv,11,0.21208784628,0.223250364505,replaced_by_children,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_V12_M1_300s.intervals.csv,12,0.223250364505,0.234412882731,unresolved,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_V12_M1_300s.intervals.csv,13,0.234412882731,0.245575400956,unresolved,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_V12_M1_300s.intervals.csv,14,0.21208784628,0.217669105393,unresolved,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_V12_M1_300s.intervals.csv,15,0.217669105393,0.223250364505,bound_fathomed,inventory_route_gini_relaxation_fathomed,relaxation_only,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_V12_M1_300s.intervals.csv,16,0.245575400956,0.256737919181,unresolved,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_V12_M1_300s.intervals.csv,17,0.256737919181,0.267900437406,unresolved,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_V12_M1_300s.merged.intervals.csv,0,0,0.0893001458021,bound_fathomed,inventory_route_gini_relaxation_fathomed,relaxation_only,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_V12_M1_300s.merged.intervals.csv,1,0.0893001458021,0.178600291604,bound_fathomed,inventory_route_gini_relaxation_fathomed,relaxation_only,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_V12_M1_300s.merged.intervals.csv,2,0.178600291604,0.267900437406,replaced_by_children,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_V12_M1_300s.merged.intervals.csv,3,0.267900437406,0.357200583208,bound_fathomed,inventory_route_gini_relaxation_fathomed,relaxation_only,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_V12_M1_300s.merged.intervals.csv,4,0.178600291604,0.223250364505,replaced_by_children,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_V12_M1_300s.merged.intervals.csv,5,0.223250364505,0.267900437406,replaced_by_children,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_V12_M1_300s.merged.intervals.csv,6,0.178600291604,0.200925328055,bound_fathomed,inventory_route_gini_relaxation_fathomed,relaxation_only,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_V12_M1_300s.merged.intervals.csv,7,0.200925328055,0.223250364505,replaced_by_children,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_V12_M1_300s.merged.intervals.csv,8,0.223250364505,0.245575400956,replaced_by_children,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_V12_M1_300s.merged.intervals.csv,9,0.245575400956,0.267900437406,replaced_by_children,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_V12_M1_300s.merged.intervals.csv,10,0.200925328055,0.21208784628,bound_fathomed,inventory_route_gini_relaxation_fathomed,relaxation_only,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_V12_M1_300s.merged.intervals.csv,11,0.21208784628,0.223250364505,replaced_by_children,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_V12_M1_300s.merged.intervals.csv,12,0.223250364505,0.234412882731,bound_fathomed,unresolved,invalid_or_unknown,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_V12_M1_300s.merged.intervals.csv,13,0.234412882731,0.245575400956,bound_fathomed,unresolved,invalid_or_unknown,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_V12_M1_300s.merged.intervals.csv,14,0.21208784628,0.217669105393,bound_fathomed,unresolved,invalid_or_unknown,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_V12_M1_300s.merged.intervals.csv,15,0.217669105393,0.223250364505,bound_fathomed,inventory_route_gini_relaxation_fathomed,relaxation_only,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_V12_M1_300s.merged.intervals.csv,16,0.245575400956,0.256737919181,bound_fathomed,unresolved,invalid_or_unknown,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_V12_M1_300s.merged.intervals.csv,17,0.256737919181,0.267900437406,bound_fathomed,unresolved,invalid_or_unknown,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_V12_M2_300s_static.intervals.csv,0,0,0.179626017689,bound_fathomed,inventory_route_gini_relaxation_fathomed,relaxation_only,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_V12_M2_300s_static.intervals.csv,1,0.179626017689,0.359252035377,bound_fathomed,inventory_route_gini_relaxation_fathomed,relaxation_only,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_V12_M2_300s_static.intervals.csv,2,0.359252035377,0.538878053066,replaced_by_children,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_V12_M2_300s_static.intervals.csv,3,0.538878053066,0.718504070755,bound_fathomed,inventory_route_gini_relaxation_fathomed,relaxation_only,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_V12_M2_300s_static.intervals.csv,4,0.359252035377,0.449065044222,bound_fathomed,inventory_route_gini_relaxation_fathomed,relaxation_only,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_V12_M2_300s_static.intervals.csv,5,0.449065044222,0.538878053066,replaced_by_children,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_V12_M2_300s_static.intervals.csv,6,0.449065044222,0.493971548644,replaced_by_children,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_V12_M2_300s_static.intervals.csv,7,0.493971548644,0.538878053066,replaced_by_children,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_V12_M2_300s_static.intervals.csv,8,0.449065044222,0.471518296433,replaced_by_children,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_V12_M2_300s_static.intervals.csv,9,0.471518296433,0.493971548644,bound_fathomed,inventory_route_gini_relaxation_fathomed,relaxation_only,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_V12_M2_300s_static.intervals.csv,10,0.449065044222,0.460291670327,bound_fathomed,inventory_route_gini_relaxation_fathomed,relaxation_only,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_V12_M2_300s_static.intervals.csv,11,0.460291670327,0.471518296433,replaced_by_children,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_V12_M2_300s_static.intervals.csv,12,0.493971548644,0.516424800855,replaced_by_children,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_V12_M2_300s_static.intervals.csv,13,0.516424800855,0.538878053066,bound_fathomed,inventory_route_gini_relaxation_fathomed,relaxation_only,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_V12_M2_300s_static.intervals.csv,14,0.460291670327,0.46590498338,bound_fathomed,inventory_route_gini_relaxation_fathomed,relaxation_only,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_V12_M2_300s_static.intervals.csv,15,0.46590498338,0.471518296433,bound_fathomed,inventory_route_gini_relaxation_fathomed,relaxation_only,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_V12_M2_300s_static.intervals.csv,16,0.493971548644,0.50519817475,replaced_by_children,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_V12_M2_300s_static.intervals.csv,17,0.50519817475,0.516424800855,bound_fathomed,inventory_route_gini_relaxation_fathomed,relaxation_only,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_V12_M2_300s_static.intervals.csv,18,0.493971548644,0.499584861697,bound_fathomed,inventory_route_gini_relaxation_fathomed,relaxation_only,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_V12_M2_300s_static.intervals.csv,19,0.499584861697,0.50519817475,bound_fathomed,inventory_route_gini_relaxation_fathomed,relaxation_only,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_high_imbalance_seed3201_300s.auto_oracle.csv,6,0.475,0.59375,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,unresolved,true,2.3155068261,2.3155068261,0.127896355843,120.3872302
results\gf_compact_bc_effectiveness_round\raw\exact_high_imbalance_seed3201_300s.auto_oracle.csv,7,0.59375,0.7125,interval_closed,interval_exact_cutoff_mip_infeasible,compact_bc_infeasible,true,0,2.44340319194,0,6.1499252
results\gf_compact_bc_effectiveness_round\raw\exact_high_imbalance_seed3202_300s.auto_oracle.csv,9,0.5046875,0.534375,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,unresolved,true,1.7110088864,1.7110088864,0.0383045556506,120.3905912
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_1200s_static300.auto_oracle.csv,1,0.0122881381662,0.0245762763324,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,unresolved,true,0.044542850351,0.044542850351,0.00460969231375,300.2502963
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_1200s_static300.auto_oracle.csv,2,0.0245762763324,0.0368644144986,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,unresolved,true,0.048809709088,0.048809709088,0.000342833576745,300.2344469
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_1200s_static300.auto_oracle.csv,3,0.0368644144986,0.0491525526647,interval_closed,interval_exact_cutoff_mip_infeasible,compact_bc_infeasible,true,0,0.0491525526647,0,0.7599519
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_1200s_static300.auto_oracle.csv,7,0.00921610362464,0.0122881381662,interval_closed,interval_exact_cutoff_mip_infeasible,compact_bc_infeasible,true,0,0.0491525526647,0,2.2465653
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_1200s_static300.auto_oracle.csv,11,0.00844809498925,0.00921610362464,interval_closed,interval_exact_cutoff_mip_infeasible,compact_bc_infeasible,true,0,0.0491525526647,0,0.7368804
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_1200s_static300.auto_oracle.csv,16,0.00787208851271,0.00796808959214,interval_closed,interval_exact_cutoff_mip_infeasible,compact_bc_infeasible,true,0,0.0491525526647,0,0.7815075
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_1200s_static300.auto_oracle.csv,17,0.00796808959214,0.00806409067156,interval_closed,interval_exact_cutoff_mip_infeasible,compact_bc_infeasible,true,0,0.0491525526647,0,0.8274015
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_1200s_static300.auto_oracle.csv,18,0.00806409067156,0.00825609283041,interval_closed,interval_exact_cutoff_mip_infeasible,compact_bc_infeasible,true,0,0.0491525526647,0,0.8050664
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_1200s_static300.auto_oracle.csv,19,0.00825609283041,0.00844809498925,interval_closed,interval_exact_cutoff_mip_infeasible,compact_bc_infeasible,true,0,0.0491525526647,0,0.8454532
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_300s.auto_oracle.csv,2,0.0245762763324,0.0368644144986,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,unresolved,true,0.048809709088,0.048809709088,0.000342833576745,120.403667
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_300s.auto_oracle.csv,3,0.0368644144986,0.0491525526647,interval_closed,interval_exact_cutoff_mip_infeasible,compact_bc_infeasible,true,0,0.0491525526647,0,1.5962942
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_300s_static30.auto_oracle.csv,1,0.0122881381662,0.0245762763324,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,unresolved,true,0.044390657922,0.044390657922,0.00476188474275,30.1870503
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_300s_static30.auto_oracle.csv,2,0.0245762763324,0.0368644144986,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,unresolved,true,0.048432362662,0.048432362662,0.000720180002745,30.1795924
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_300s_static30.auto_oracle.csv,3,0.0368644144986,0.0491525526647,interval_closed,interval_exact_cutoff_mip_infeasible,compact_bc_infeasible,true,0,0.0491525526647,0,0.7095767
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_300s_static30.auto_oracle.csv,7,0.00921610362464,0.0122881381662,interval_closed,interval_exact_cutoff_mip_infeasible,compact_bc_infeasible,true,0,0.0491525526647,0,2.2713789
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_300s_static30.auto_oracle.csv,10,0.00768008635387,0.00844809498925,interval_closed,interval_exact_cutoff_mip_infeasible,compact_bc_infeasible,true,0,0.0491525526647,0,0.7942523
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_300s_static30.auto_oracle.csv,11,0.00844809498925,0.00921610362464,interval_closed,interval_exact_cutoff_mip_infeasible,compact_bc_infeasible,true,0,0.0491525526647,0,0.7135893
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3302_300s.auto_oracle.csv,1,0.0489090516373,0.0978181032745,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,unresolved,true,0.14468086865,0.14468086865,0.050955327899,120.4799038
results\gf_compact_bc_effectiveness_round\raw\exact_tight_T_seed3102_300s.auto_oracle.csv,1,0.150176109171,0.300352218343,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,unresolved,true,0.5284969862,0.5284969862,0.0722074404851,120.3857343
results\gf_compact_bc_effectiveness_round\raw\exact_V12_M1_300s.auto_oracle.csv,12,0.223250364505,0.234412882731,interval_closed,interval_exact_cutoff_mip_infeasible,compact_bc_infeasible,true,0,0.357200583208,0,4.6455146
results\gf_compact_bc_effectiveness_round\raw\exact_V12_M1_300s.auto_oracle.csv,13,0.234412882731,0.245575400956,interval_closed,interval_exact_cutoff_mip_infeasible,compact_bc_infeasible,true,0,0.357200583208,0,2.337518
results\gf_compact_bc_effectiveness_round\raw\exact_V12_M1_300s.auto_oracle.csv,14,0.21208784628,0.217669105393,interval_closed,interval_exact_objective_bound_optimal_no_improver,compact_bc_infeasible,true,0.35720005569,0.357200583208,5.1751841551e-07,5.6477786
results\gf_compact_bc_effectiveness_round\raw\exact_V12_M1_300s.auto_oracle.csv,16,0.245575400956,0.256737919181,interval_closed,interval_exact_cutoff_mip_infeasible,compact_bc_infeasible,true,0,0.357200583208,0,1.6629018
results\gf_compact_bc_effectiveness_round\raw\exact_V12_M1_300s.auto_oracle.csv,17,0.256737919181,0.267900437406,interval_closed,interval_exact_cutoff_mip_infeasible,compact_bc_infeasible,true,0,0.357200583208,0,0.9805963
