run_id,stage,instance,arm,flow_variant,root_model_rows,root_model_columns,root_model_nonzeros,flow_columns,flow_upper_link_rows,flow_lower_link_rows,flow_station_balance_rows,flow_depot_balance_rows,flow_start_upper_rows,flow_start_lower_rows,flow_total_rows,flow_total_nonzeros,presolve_eliminated_rows_total,presolve_eliminated_columns_total,reduced_model_rows,reduced_model_columns,reduced_model_nonzeros,root_lp_time_seconds,root_uncut_relaxation,post_root_cut_relaxation,native_cut_counts
stage2__tight_T_seed3102__f0__900s,stage2,tight_T_seed3102,F0,round20-current,11903,3372,67107,1260,1260,0,60,3,0,0,1323,5160,3410,396,10104,3134,53176,0.25,0.4475,0.4611,cover=41|gub_cover=3|flow_cover=227|clique=0|fractional=1|mir=77|flow_path=0|disjunctive=0|implied_bound=536|zero_half=20|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=0|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0
stage2__tight_T_seed3102__f3__900s,stage2,tight_T_seed3102,F3,normalized-start-coupled,13163,3312,71847,1200,1200,1200,60,3,60,60,2583,9900,3876,396,11173,3074,56271,0.34,0.4476,0.4597,cover=37|gub_cover=3|flow_cover=103|clique=0|fractional=2|mir=72|flow_path=0|disjunctive=0|implied_bound=444|zero_half=23|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=0|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0
stage2__V12_M1__f0__900s,stage2,V12_M1,F0,round20-current,6225,646,59207,156,156,0,12,1,0,0,169,648,1690,4,5344,620,55439,0.09,0.1965,0.2415,cover=9|gub_cover=0|flow_cover=45|clique=59|fractional=7|mir=11|flow_path=0|disjunctive=0|implied_bound=470|zero_half=1|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=0|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0
stage2__V12_M1__f3__900s,stage2,V12_M1,F3,normalized-start-coupled,6381,634,59771,144,144,144,12,1,12,12,325,1212,1690,4,5500,608,55991,0.09,0.1965,0.2417,cover=7|gub_cover=0|flow_cover=23|clique=57|fractional=4|mir=21|flow_path=0|disjunctive=0|implied_bound=349|zero_half=1|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=3|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0
stage2__V12_M2__f0__900s,stage2,V12_M2,F0,round20-current,11351,1032,113440,312,312,0,24,2,0,0,338,1296,2472,12,10070,1005,107234,0.23,0.3422,0.3788,cover=21|gub_cover=4|flow_cover=116|clique=18|fractional=2|mir=27|flow_path=0|disjunctive=0|implied_bound=366|zero_half=2|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=0|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0
stage2__V12_M2__f3__900s,stage2,V12_M2,F3,normalized-start-coupled,11663,1008,114568,288,288,288,24,2,24,24,650,2424,2472,12,10382,981,108338,0.22,0.3423,0.3782,cover=24|gub_cover=2|flow_cover=46|clique=13|fractional=3|mir=29|flow_path=0|disjunctive=0|implied_bound=357|zero_half=2|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=0|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0
stage3__high_imbalance_seed3202__f0__1800s,stage3,high_imbalance_seed3202,F0,round20-current,11895,3370,66704,1260,1260,0,60,3,0,0,1323,5160,4746,66,9441,3310,48232,0.28,1.3017,1.4488,cover=51|gub_cover=5|flow_cover=381|clique=1|fractional=0|mir=47|flow_path=0|disjunctive=0|implied_bound=1054|zero_half=41|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=0|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0
stage3__high_imbalance_seed3202__f3__1800s,stage3,high_imbalance_seed3202,F3,normalized-start-coupled,13155,3310,71444,1200,1200,1200,60,3,60,60,2583,9900,5026,66,10585,3250,51478,0.42,1.3018,1.4313,cover=54|gub_cover=5|flow_cover=133|clique=1|fractional=0|mir=56|flow_path=0|disjunctive=0|implied_bound=904|zero_half=31|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=0|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0
stage3__moderate_seed3301__f0__1800s,stage3,moderate_seed3301,F0,round20-current,11925,3378,67136,1260,1260,0,60,3,0,0,1323,5160,2258,102,10695,3283,60749,0.28,0.0328,0.0345,cover=84|gub_cover=1|flow_cover=143|clique=0|fractional=2|mir=36|flow_path=0|disjunctive=0|implied_bound=2088|zero_half=11|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=0|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0
stage3__moderate_seed3301__f3__1800s,stage3,moderate_seed3301,F3,normalized-start-coupled,13185,3318,71876,1200,1200,1200,60,3,60,60,2583,9900,2390,102,11889,3223,64100,0.45,0.0328,0.0347,cover=45|gub_cover=1|flow_cover=35|clique=0|fractional=6|mir=36|flow_path=0|disjunctive=0|implied_bound=1270|zero_half=9|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=0|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0
