leaf_id,gamma_L,gamma_U,factory_version,factory_signature,canonical_row_signature,model_sha256,global_family_count,interval_family_count,selector_variable_count,contract_valid
R.1.0.0.0.0.1.1.0.0.0,0.18697218027315499,0.18732100896769446,round19_v2_projected_centering,4e270cd38596016c,1005a42cb0e8c9b1fac3b2db3ff08685b1d7443ee687f7d6e9fbca6bf1629a69,1005a42cb0e8c9b1fac3b2db3ff08685b1d7443ee687f7d6e9fbca6bf1629a69,6,9,0,1
R.1.0.0.0.0.1.1.0.0.1,0.18732100896769446,0.18766983766223394,round19_v2_projected_centering,76a3ac72c727bd1c,3b7b1edb0ec0964d89f71dc5aa56f2dd7d870729f0b5b67491271aa35a0a6dd3,3b7b1edb0ec0964d89f71dc5aa56f2dd7d870729f0b5b67491271aa35a0a6dd3,6,9,0,1
R.1.0.0.0.1.0.0.0,0.18976280982947075,0.19115812460762863,round19_v2_projected_centering,912b3f08e356c3ef,e28a5fb84c646f3a664473c4a513d105e3ff9d15acf12f3d82bdb941f6f3637d,e28a5fb84c646f3a664473c4a513d105e3ff9d15acf12f3d82bdb941f6f3637d,6,9,0,1
R.1.0.0.0.1.0.0.1,0.19115812460762863,0.19255343938578651,round19_v2_projected_centering,7a32f7241a1e4b0c,2388d95ab416b262586a16a2af33ba690e5a64ea17b0ba8a0c0748099471bb86,2388d95ab416b262586a16a2af33ba690e5a64ea17b0ba8a0c0748099471bb86,6,9,0,1
R.1.0.0.0.0.1.1.1.0,0.18836749505131287,0.18906515244039179,round19_v2_projected_centering,940e8876a1db21ae,a254045d2cc945f2a9a2f7c040992422c2e6221d2b8d6f6742ffa83bb772a235,a254045d2cc945f2a9a2f7c040992422c2e6221d2b8d6f6742ffa83bb772a235,6,9,0,1
R.1.0.0.0.0.1.1.1.1,0.18906515244039179,0.18976280982947075,round19_v2_projected_centering,cbc1ae5b95b97cf2,62ab0d7ed67a64daa0ffd33f37116a6199c9b0becfebda0438e5a7a08e6aff30,62ab0d7ed67a64daa0ffd33f37116a6199c9b0becfebda0438e5a7a08e6aff30,6,9,0,1
R.1.0.0.0.0.1.1.0.1.0,0.18766983766223394,0.18801866635677339,round19_v2_projected_centering,e9ceff3ac56452cf,7625a3bcafdb55b54ba18c0010b1660fa13a760e6b7a9905744a35df92651c94,7625a3bcafdb55b54ba18c0010b1660fa13a760e6b7a9905744a35df92651c94,6,9,0,1
R.1.0.0.0.0.1.1.0.1.1,0.18801866635677339,0.18836749505131287,round19_v2_projected_centering,614608e6492f3154,26a16734f3daf3b26b1035ec07bbb6d469a7ccf591bd73003774876966487e15,26a16734f3daf3b26b1035ec07bbb6d469a7ccf591bd73003774876966487e15,6,9,0,1
R.1.0.0.0.0.1.1.1.0.1,0.18871632374585234,0.18906515244039179,round19_v2_projected_centering,f9b6116b1463b5c9,8706ec8523146f53d72ecc05d1f1acd743a2b5c0cea3958da4fa6025541969f6,8706ec8523146f53d72ecc05d1f1acd743a2b5c0cea3958da4fa6025541969f6,6,9,0,1
R.1.0.0.0.0.1.1.1.0.0,0.18836749505131287,0.18871632374585234,round19_v2_projected_centering,96a04aa5afa5ba42,d496216a947fc8631447c2c5d099040f704f77146eb0300a305be961d24614cb,d496216a947fc8631447c2c5d099040f704f77146eb0300a305be961d24614cb,6,9,0,1
