leaf_id,parent_id,child_index,depth,gamma_L,gamma_U,base_lower_bound,current_lower_bound,cutoff,status,lp_complete,lp_optimal,lp_infeasible,lp_bound,lp_native_status,terminal_mip_started,terminal_native_status,closure_source,model_sha256,row_signature,parent_child_coverage_valid,parent_replaced,lower_bound_sources
R.0.0.0.1.1.1.1,"R.0.0.0.1.1.1",1,7,0.019787969132452343,0.021107167074615834,0.076906847952109503,0.077676436694833595,0.16885733659692667,replaced,1,1,0,0.077676436694833595,"OPTIMAL",0,"not_run","",b47049385d098e9c06ac3f4055855bce27109cb0b7e981b0c0286919a575bea5,b47049385d098e9c06ac3f4055855bce27109cb0b7e981b0c0286919a575bea5,1,1,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound"
R.0.0.0.1.1.0.0,"R.0.0.0.1.1.0",0,7,0.015830375305961875,0.017149573248125365,0.07846602871506804,0.081515827235650512,0.16885733659692667,replaced,1,1,0,0.081515827235650512,"OPTIMAL",0,"not_run","",062e9d35cb5beabc432f26b12ae152e0157d3aa5ffd28b5be46ca77350cb68b3,062e9d35cb5beabc432f26b12ae152e0157d3aa5ffd28b5be46ca77350cb68b3,1,1,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound"
R.0.0.0.1.1.0.1,"R.0.0.0.1.1.0",1,7,0.017149573248125365,0.018468771190288856,0.07846602871506804,0.07915573132778482,0.16885733659692667,replaced,1,1,0,0.07915573132778482,"OPTIMAL",0,"not_run","",a2b63ee250d7e6245e970ee6cbfcef0c0430b073fc7cfea13d5ed446595fe9b6,a2b63ee250d7e6245e970ee6cbfcef0c0430b073fc7cfea13d5ed446595fe9b6,1,1,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound"
R.0.0.1.0.0.0.1.0,"R.0.0.1.0.0.0.1",0,8,0.022426365016779325,0.023085963987861068,0.077407115176950231,0.077860950707498003,0.16885733659692667,replaced,1,1,0,0.077860950707498003,"OPTIMAL",0,"not_run","",317b2f7b3f81cc9d78ddb25a3792cdc8c0c6529f19f07b9d848c83cc666eed5c,317b2f7b3f81cc9d78ddb25a3792cdc8c0c6529f19f07b9d848c83cc666eed5c,1,1,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound"
R.0.0.1.0.0.0.1.1,"R.0.0.1.0.0.0.1",1,8,0.023085963987861068,0.023745562958942812,0.077407115176950231,0.077793085434769996,0.16885733659692667,replaced,1,1,0,0.077793085434769996,"OPTIMAL",0,"not_run","",3656dc7529475cc93eeb293870d26dbfa745c20d80f53000ea3d32c587b69fee,3656dc7529475cc93eeb293870d26dbfa745c20d80f53000ea3d32c587b69fee,1,1,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound"
R.0.0.1.0.0.0.0.0,"R.0.0.1.0.0.0.0",0,8,0.021107167074615834,0.021766766045697578,0.077542638851551382,0.077995386544867068,0.16885733659692667,replaced,1,1,0,0.077995386544867068,"OPTIMAL",0,"not_run","",b15b61ccf3b6f270d6d03c26c276f21621417d2b71eb58f69c271f2850444d2e,b15b61ccf3b6f270d6d03c26c276f21621417d2b71eb58f69c271f2850444d2e,1,1,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound"
R.0.0.1.0.0.0.0.1,"R.0.0.1.0.0.0.0",1,8,0.021766766045697578,0.022426365016779325,0.077542638851551382,0.077928384282811139,0.16885733659692667,replaced,1,1,0,0.077928384282811139,"OPTIMAL",0,"not_run","",3d2411a5788c30da1520797befc259beabf28e81cf92b9f62c0a682fc34280cb,3d2411a5788c30da1520797befc259beabf28e81cf92b9f62c0a682fc34280cb,1,1,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound"
R.0.0.1.0.1.0.0,"R.0.0.1.0.1.0",0,7,0.026383958843269793,0.027703156785433281,0.077635752760442878,0.078077207697005768,0.16885733659692667,replaced,1,1,0,0.078077207697005768,"OPTIMAL",0,"not_run","",ebc05b4b8198cade53e3eb13efa645212f4644d67d8412c7055dd25b148146dd,ebc05b4b8198cade53e3eb13efa645212f4644d67d8412c7055dd25b148146dd,1,1,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound"
R.0.0.1.0.1.0.1,"R.0.0.1.0.1.0",1,7,0.027703156785433281,0.029022354727596771,0.077635752760442878,0.07845608750799328,0.16885733659692667,replaced,1,1,0,0.07845608750799328,"OPTIMAL",0,"not_run","",b80bb5f781fad245c9175b054e8304114f4babe36e7e43e573ee4fc627f0577b,b80bb5f781fad245c9175b054e8304114f4babe36e7e43e573ee4fc627f0577b,1,1,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound"
R.0.0.1.0.1.1.0,"R.0.0.1.0.1.1",0,7,0.029022354727596771,0.030341552669760262,0.078387315040601799,0.078833112060315735,0.16885733659692667,replaced,1,1,0,0.078833112060315735,"OPTIMAL",0,"not_run","",e4e8e754beb65832860de3d3c2a633132b285379fc4d551f6260ff12b7cb5b34,e4e8e754beb65832860de3d3c2a633132b285379fc4d551f6260ff12b7cb5b34,1,1,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound"
R.0.0.1.0.1.1.1,"R.0.0.1.0.1.1",1,7,0.030341552669760262,0.031660750611923749,0.078387315040601799,0.079208275857881288,0.16885733659692667,replaced,1,1,0,0.079208275857881288,"OPTIMAL",0,"not_run","",7a27c5c44798a2b7d62edfe81e22a94bb3c183f189cb5146a7499c56f09eec58,7a27c5c44798a2b7d62edfe81e22a94bb3c183f189cb5146a7499c56f09eec58,1,1,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound"
R.0.0.0.1.1.1.0.0,"R.0.0.0.1.1.1.0",0,8,0.018468771190288856,0.0191283701613706,0.077837407767670577,0.078319224503599988,0.16885733659692667,replaced,1,1,0,0.078319224503599988,"OPTIMAL",0,"not_run","",75af5d54ab6fee90629261df018e4652f2bba8b7e5ea4bf317f3c7b6413a2c99,75af5d54ab6fee90629261df018e4652f2bba8b7e5ea4bf317f3c7b6413a2c99,1,1,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound"
R.0.0.0.1.1.1.0.1,"R.0.0.0.1.1.1.0",1,8,0.0191283701613706,0.019787969132452343,0.077837407767670577,0.07822145525525645,0.16885733659692667,replaced,1,1,0,0.07822145525525645,"OPTIMAL",0,"not_run","",944238012cdbebd66caac0351f7936bf7ec12ff43329fd248153618f28530d2f,944238012cdbebd66caac0351f7936bf7ec12ff43329fd248153618f28530d2f,1,1,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound"
R.0.0.0.1.1.1.1.0,"R.0.0.0.1.1.1.1",0,8,0.019787969132452343,0.02044756810353409,0.077676436694833595,0.078140814429701971,0.16885733659692667,replaced,1,1,0,0.078140814429701971,"OPTIMAL",0,"not_run","",a92b2338f5fb3325bb9e230a8563427abcab428f4e8943bfc368a9e584687c3d,a92b2338f5fb3325bb9e230a8563427abcab428f4e8943bfc368a9e584687c3d,1,1,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound"
R.0.0.0.1.1.1.1.1,"R.0.0.0.1.1.1.1",1,8,0.02044756810353409,0.021107167074615834,0.077676436694833595,0.078061957877368818,0.16885733659692667,replaced,1,1,0,0.078061957877368818,"OPTIMAL",0,"not_run","",42fb9241cbc1c33ce2b456ee968037daef327d6a7793d798a809510c7b94b069,42fb9241cbc1c33ce2b456ee968037daef327d6a7793d798a809510c7b94b069,1,1,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound"
R.0.0.1.0.0.1.0.0,"R.0.0.1.0.0.1.0",0,8,0.023745562958942812,0.024405161930024559,0.07753809298846269,0.077836866964544324,0.16885733659692667,replaced,1,1,0,0.077836866964544324,"OPTIMAL",0,"not_run","",d11010613117d2a16f3ed194b09af02c408b76e5941b00f03d2d40109b45d326,d11010613117d2a16f3ed194b09af02c408b76e5941b00f03d2d40109b45d326,1,1,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound"
R.0.0.1.0.0.1.0.1,"R.0.0.1.0.0.1.0",1,8,0.024405161930024559,0.025064760901106303,0.07753809298846269,0.077939305325810185,0.16885733659692667,replaced,1,1,0,0.077939305325810185,"OPTIMAL",0,"not_run","",b89360e5b68711b3aab712b38d69aa61d6b51b968c16ca220f7cace3fbbc7bbc,b89360e5b68711b3aab712b38d69aa61d6b51b968c16ca220f7cace3fbbc7bbc,1,1,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound"
