number,id,arm,leaf_id,solve_kind,native_log,line,raw_line,scope,event,native_objective,rounded_native_seconds
19,D3,K1-R,L0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round70\revision2\local_raw\development\D3\K1-R\external\native_logs\L0_terminal_mip.gurobi.log,59,H 3693  1175                       0.0460270    0.04135  10.2%   130   44s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.046027,44.0
19,D3,K1-R,L0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round70\revision2\local_raw\development\D3\K1-R\external\native_logs\L0_terminal_mip.gurobi.log,76,H11555  1230                       0.0453086    0.04249  6.21%   170  126s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.0453086,126.0
19,D3,K1-R,L0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round70\revision2\local_raw\development\D3\K1-R\external\native_logs\L0_terminal_mip.gurobi.log,101,H23919   887                       0.0450542    0.04343  3.60%   188  249s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.0450542,249.0
21,C2,VD-S,L0.0,CHILD_BOUND_TARGET_MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round70\revision2\local_raw\development\C2\VD-S\external\native_logs\L0.0_c6_1_child_disjunction_target_mip.gurobi.log,28,Loaded user MIP start with objective 0.829963,Native telemetry; no independent intermediate vector retained,Loaded user MIP start with objective,0.829963,
21,C2,VD-S,L0.0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round70\revision2\local_raw\development\C2\VD-S\external\native_logs\L0.0_terminal_mip.gurobi.log,28,Loaded user MIP start with objective 0.829963,Native telemetry; no independent intermediate vector retained,Loaded user MIP start with objective,0.829963,
21,C2,VD-S,L0.0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round70\revision2\local_raw\development\C2\VD-S\external\native_logs\L0.0_terminal_mip.gurobi.log,80,H 3655   757                       0.8299634    0.80347  3.19%   130   79s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.8299634,79.0
22,C2,DS,L0.0,CHILD_BOUND_TARGET_MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round70\revision2\local_raw\development\C2\DS\external\native_logs\L0.0_c6_1_child_disjunction_target_mip.gurobi.log,28,Loaded user MIP start with objective 0.854344,Native telemetry; no independent intermediate vector retained,Loaded user MIP start with objective,0.854344,
22,C2,DS,L0.0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round70\revision2\local_raw\development\C2\DS\external\native_logs\L0.0_terminal_mip.gurobi.log,28,Loaded user MIP start with objective 0.854344,Native telemetry; no independent intermediate vector retained,Loaded user MIP start with objective,0.854344,
22,C2,DS,L0.0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round70\revision2\local_raw\development\C2\DS\external\native_logs\L0.0_terminal_mip.gurobi.log,54,H    0     0                       0.8488798    0.74593  12.1%     -    2s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.8488798,2.0
22,C2,DS,L0.0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round70\revision2\local_raw\development\C2\DS\external\native_logs\L0.0_terminal_mip.gurobi.log,55,H    0     0                       0.8477551    0.74593  12.0%     -    2s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.8477551,2.0
22,C2,DS,L0.0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round70\revision2\local_raw\development\C2\DS\external\native_logs\L0.0_terminal_mip.gurobi.log,79,H    7     7                       0.8394962    0.75040  10.6%   363    5s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.8394962,5.0
22,C2,DS,L0.0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round70\revision2\local_raw\development\C2\DS\external\native_logs\L0.0_terminal_mip.gurobi.log,80,H    7     7                       0.8328690    0.75040  9.90%   363    5s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.832869,5.0
22,C2,DS,L0.0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round70\revision2\local_raw\development\C2\DS\external\native_logs\L0.0_terminal_mip.gurobi.log,81,H    7     7                       0.8312936    0.75040  9.73%   363    5s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.8312936,5.0
22,C2,DS,L0.0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round70\revision2\local_raw\development\C2\DS\external\native_logs\L0.0_terminal_mip.gurobi.log,82,H    7     7                       0.8299634    0.75040  9.59%   363    5s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.8299634,5.0
24,D4,VD-S,L0,CHILD_BOUND_TARGET_MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round70\revision2\local_raw\development\D4\VD-S\external\native_logs\L0_c6_1_child_disjunction_target_mip.gurobi.log,28,Loaded user MIP start with objective 0.506423,Native telemetry; no independent intermediate vector retained,Loaded user MIP start with objective,0.506423,
24,D4,VD-S,L0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round70\revision2\local_raw\development\D4\VD-S\external\native_logs\L0_terminal_mip.gurobi.log,28,Loaded user MIP start with objective 0.506423,Native telemetry; no independent intermediate vector retained,Loaded user MIP start with objective,0.506423,
24,D4,VD-S,L0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round70\revision2\local_raw\development\D4\VD-S\external\native_logs\L0_terminal_mip.gurobi.log,72,H  717   434                       0.5063433    0.39345  22.3%  69.1   12s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.5063433,12.0
25,D4,DS,L0,CHILD_BOUND_TARGET_MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round70\revision2\local_raw\development\D4\DS\external\native_logs\L0_c6_1_child_disjunction_target_mip.gurobi.log,28,Loaded user MIP start with objective 0.723143,Native telemetry; no independent intermediate vector retained,Loaded user MIP start with objective,0.723143,
25,D4,DS,L0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round70\revision2\local_raw\development\D4\DS\external\native_logs\L0_terminal_mip.gurobi.log,28,Loaded user MIP start with objective 0.723143,Native telemetry; no independent intermediate vector retained,Loaded user MIP start with objective,0.723143,
25,D4,DS,L0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round70\revision2\local_raw\development\D4\DS\external\native_logs\L0_terminal_mip.gurobi.log,63,H   13    13                       0.5944496    0.37852  36.3%   168    1s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.5944496,1.0
25,D4,DS,L0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round70\revision2\local_raw\development\D4\DS\external\native_logs\L0_terminal_mip.gurobi.log,64,H   13    13                       0.5898538    0.37852  35.8%   168    1s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.5898538,1.0
25,D4,DS,L0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round70\revision2\local_raw\development\D4\DS\external\native_logs\L0_terminal_mip.gurobi.log,65,H   13    13                       0.5809563    0.37852  34.8%   168    1s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.5809563,1.0
25,D4,DS,L0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round70\revision2\local_raw\development\D4\DS\external\native_logs\L0_terminal_mip.gurobi.log,66,H   13    13                       0.5803017    0.37852  34.8%   168    1s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.5803017,1.0
25,D4,DS,L0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round70\revision2\local_raw\development\D4\DS\external\native_logs\L0_terminal_mip.gurobi.log,67,H   29    28                       0.5544947    0.37852  31.7%   141    2s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.5544947,2.0
25,D4,DS,L0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round70\revision2\local_raw\development\D4\DS\external\native_logs\L0_terminal_mip.gurobi.log,68,H  359   287                       0.5524981    0.38267  30.7%  49.9    3s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.5524981,3.0
25,D4,DS,L0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round70\revision2\local_raw\development\D4\DS\external\native_logs\L0_terminal_mip.gurobi.log,69,*  400   315              58       0.5448490    0.38267  29.8%  46.1    3s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.544849,3.0
25,D4,DS,L0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round70\revision2\local_raw\development\D4\DS\external\native_logs\L0_terminal_mip.gurobi.log,70,H  483   356                       0.5351758    0.38426  28.2%  50.9    4s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.5351758,4.0
