run_id,parent_uid,parent_parent_uid,parent_native_depth,parent_gini_generation,child_gini_generation,parent_gamma_L,parent_gamma_U,split,parent_relaxation,lower_uid,lower_gamma_L,lower_gamma_U,lower_estimate,lower_gamma_floor,lower_weighted_penalty_lb,lower_domain_estimate,lower_lift,lower_station_deviation_lbs,upper_uid,upper_gamma_L,upper_gamma_U,upper_estimate,upper_gamma_floor,upper_weighted_penalty_lb,upper_domain_estimate,upper_lift,upper_station_deviation_lbs,estimate_mode,sibling_discriminated,creation_time,creation_node_count,open_nodes,simplex_iterations,validity_status,failure_reason
forensic__moderate_seed3302__baseline__300s,93,91,3,3,4,0.097818103274506185,0.12227262909313273,0.11004536618381947,0.16864570557070446,95,0.097818103274506185,0.11004536618381947,0.16864570557070446,0.097818103274506185,0,0.097818103274506185,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,96,0.11004536618381947,0.12227262909313273,0.16864570557070446,0.11004536618381947,0,0.11004536618381947,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,parent-copy,false,13.171962199999999,53,42,30438,passed,
forensic__moderate_seed3302__baseline__300s,94,91,3,3,4,0.12227262909313273,0.14672715491175928,0.134499892002446,0.18777713311089431,97,0.12227262909313273,0.134499892002446,0.18777713311089431,0.12227262909313273,0,0.12227262909313273,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,98,0.134499892002446,0.14672715491175928,0.18777713311089431,0.134499892002446,0,0.134499892002446,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,parent-copy,false,13.3481924,54,43,30438,passed,
forensic__moderate_seed3302__baseline__300s,95,93,4,4,5,0.097818103274506185,0.11004536618381947,0.10393173472916283,0.16864570557070446,99,0.097818103274506185,0.10393173472916283,0.16864570557070446,0.097818103274506185,0,0.097818103274506185,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,100,0.10393173472916283,0.11004536618381947,0.16864570557070446,0.10393173472916283,0,0.10393173472916283,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,parent-copy,false,13.4298208,55,44,31281,passed,
forensic__moderate_seed3302__baseline__300s,96,93,4,4,5,0.11004536618381947,0.12227262909313273,0.11615899763847609,0.17685329581838433,101,0.11004536618381947,0.11615899763847609,0.17685329581838433,0.11004536618381947,0,0.11004536618381947,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,102,0.11615899763847609,0.12227262909313273,0.17685329581838433,0.11615899763847609,0,0.11615899763847609,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,parent-copy,false,13.6878232,56,45,31281,passed,
forensic__moderate_seed3302__baseline__300s,99,95,5,5,6,0.097818103274506185,0.10393173472916283,0.10087491900183451,0.16864570557070446,103,0.097818103274506185,0.10087491900183451,0.16864570557070446,0.097818103274506185,0,0.097818103274506185,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,104,0.10087491900183451,0.10393173472916283,0.16864570557070446,0.10087491900183451,0,0.10087491900183451,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,parent-copy,false,13.773869299999999,57,46,32542,passed,
forensic__moderate_seed3302__baseline__300s,100,95,5,5,6,0.10393173472916283,0.11004536618381947,0.10698855045649114,0.17265921886824731,105,0.10393173472916283,0.10698855045649114,0.17265921886824731,0.10393173472916283,0,0.10393173472916283,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,106,0.10698855045649114,0.11004536618381947,0.17265921886824731,0.10698855045649114,0,0.10698855045649114,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,parent-copy,false,13.939508200000001,58,47,32542,passed,
forensic__moderate_seed3302__baseline__300s,105,100,6,6,7,0.10393173472916283,0.10698855045649114,0.10546014259282699,0.17265921886825225,107,0.10393173472916283,0.10546014259282699,0.17265921886825225,0.10393173472916283,0,0.10393173472916283,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,108,0.10546014259282699,0.10698855045649114,0.17265921886825225,0.10546014259282699,0,0.10546014259282699,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,parent-copy,false,14.015063,59,48,33316,passed,
forensic__moderate_seed3302__baseline__300s,106,100,6,6,7,0.10698855045649114,0.11004536618381947,0.1085169583201553,0.17474446710559857,109,0.10698855045649114,0.1085169583201553,0.17474446710559857,0.10698855045649114,0,0.10698855045649114,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,110,0.1085169583201553,0.11004536618381947,0.17474446710559857,0.1085169583201553,0,0.1085169583201553,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,parent-copy,false,14.105937900000001,60,49,33316,passed,
forensic__moderate_seed3302__baseline__300s,107,105,7,7,8,0.10393173472916283,0.10546014259282699,0.10469593866099491,0.17265921886825225,111,0.10393173472916283,0.10469593866099491,0.17265921886825225,0.10393173472916283,0,0.10393173472916283,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,112,0.10469593866099491,0.10546014259282699,0.17265921886825225,0.10469593866099491,0,0.10469593866099491,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,parent-copy,false,14.4026844,61,50,33454,passed,
forensic__moderate_seed3302__baseline__300s,108,105,7,7,8,0.10546014259282699,0.10698855045649114,0.10622434652465906,0.17370157616274959,113,0.10546014259282699,0.10622434652465906,0.17370157616274959,0.10546014259282699,0,0.10546014259282699,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,114,0.10622434652465906,0.10698855045649114,0.17370157616274959,0.10622434652465906,0,0.10622434652465906,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,parent-copy,false,14.495224800000001,62,51,33454,passed,
forensic__moderate_seed3302__baseline__300s,113,108,8,8,9,0.10546014259282699,0.10622434652465906,0.10584224455874303,0.17370157616275303,115,0.10546014259282699,0.10584224455874303,0.17370157616275303,0.10546014259282699,0,0.10546014259282699,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,116,0.10584224455874303,0.10622434652465906,0.17370157616275303,0.10584224455874303,0,0.10584224455874303,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,parent-copy,false,14.5751182,63,52,33579,passed,
forensic__moderate_seed3302__baseline__300s,114,108,8,8,9,0.10622434652465906,0.10698855045649114,0.1066064484905751,0.17422297487792579,117,0.10622434652465906,0.1066064484905751,0.17422297487792579,0.10622434652465906,0,0.10622434652465906,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,118,0.1066064484905751,0.10698855045649114,0.17422297487792579,0.1066064484905751,0,0.1066064484905751,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,parent-copy,false,14.662981500000001,64,53,33579,passed,
forensic__moderate_seed3302__baseline__300s,115,113,9,9,10,0.10546014259282699,0.10584224455874303,0.10565119357578501,0.17370157616275303,119,0.10546014259282699,0.10565119357578501,0.17370157616275303,0.10546014259282699,0,0.10546014259282699,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,120,0.10565119357578501,0.10584224455874303,0.17370157616275303,0.10565119357578501,0,0.10565119357578501,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,parent-copy,false,14.7503689,65,54,33674,passed,
forensic__moderate_seed3302__baseline__300s,116,113,9,9,10,0.10584224455874303,0.10622434652465906,0.10603329554170104,0.17396226643862536,121,0.10584224455874303,0.10603329554170104,0.17396226643862536,0.10584224455874303,0,0.10584224455874303,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,122,0.10603329554170104,0.10622434652465906,0.17396226643862536,0.10603329554170104,0,0.10603329554170104,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,parent-copy,false,14.842892600000001,66,55,33674,passed,
forensic__moderate_seed3302__baseline__300s,12,6,4,4,5,0.036681788727939819,0.048909051637253093,0.042795420182596453,0.13785949703324304,279,0.036681788727939819,0.042795420182596453,0.13785949703324304,0.036681788727939819,0,0.036681788727939819,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,280,0.042795420182596453,0.048909051637253093,0.13785949703324304,0.042795420182596453,0,0.042795420182596453,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,parent-copy,false,17.811190100000001,155,121,41619,passed,
