event_sequence,elapsed_runtime_seconds,work,incumbent_available,incumbent,best_bound_available,best_bound,processed_nodes,open_nodes,solution_count,callback_where,phase,context
1100,142.56900000572205,264.3458941652159,true,2.7841075712429038,true,1.9674923357515348,6675,3636,1.0276565433497928e-321,3,1,MIP
1101,142.66499996185303,264.54602529346988,true,2.7841075712429038,true,1.967548151369291,6677,3638,1.0276565433497928e-321,3,1,MIP
1102,142.78699994087219,264.78576163154128,true,2.7841075712429038,true,1.967548151369291,6681,3640,1.0276565433497928e-321,3,1,MIP
1103,142.91599988937378,265.03661145558959,true,2.7841075712429038,true,1.967548151369291,6686,3643,1.0276565433497928e-321,3,1,MIP
1104,143.08999991416931,265.37392695248673,true,2.7841075712429038,true,1.967548151369291,6695,3652,1.0276565433497928e-321,3,1,MIP
1105,143.21000003814697,265.61972074735462,true,2.7841075712429038,true,1.967548151369291,6701,3650,1.0276565433497928e-321,3,1,MIP
1106,143.29299998283386,265.78917123157999,true,2.7841075712429038,true,1.9678178541644293,6702,3651,1.0276565433497928e-321,3,1,MIP
1107,143.41899991035461,265.94935063033256,true,2.7841075712429038,true,1.9678178541644293,6706,3653,1.0276565433497928e-321,3,1,MIP
1108,143.54499983787537,266.19463030106976,true,2.7841075712429038,true,1.9678178541644293,6712,3653,1.0276565433497928e-321,3,1,MIP
1109,143.74600005149841,266.59667529158878,true,2.7841075712429038,true,1.9678178541644293,6718,3651,1.0276565433497928e-321,3,1,MIP
1110,143.76399993896484,266.63018030451491,true,2.7841075712429038,true,1.9682701666610727,6719,3652,1.0276565433497928e-321,3,1,MIP
1111,143.87999987602234,266.86083687223623,true,2.7841075712429038,true,1.9682701666610727,6722,3655,1.0276565433497928e-321,3,1,MIP
1112,144.03900003433228,267.1270308784708,true,2.7841075712429038,true,1.9682701666610727,6725,3654,1.0276565433497928e-321,3,1,MIP
1113,144.1949999332428,267.45285175901608,true,2.7841075712429038,true,1.9682701666610727,6728,3655,1.0276565433497928e-321,3,1,MIP
1114,144.32299995422363,267.73926806326369,true,2.7841075712429038,true,1.9682701666610727,6732,3655,1.0276565433497928e-321,3,1,MIP
1115,144.40599989891052,267.91302857180989,true,2.7841075712429038,true,1.9682881299281194,6740,3655,1.0276565433497928e-321,3,1,MIP
1116,144.51399993896484,268.13315214422909,true,2.7841075712429038,true,1.9682881299281194,6743,3655,1.0276565433497928e-321,3,1,MIP
