instance_id,arm,model_sha256,model_variables,model_binary_variables,model_integer_variables,model_continuous_variables,model_build_seconds,model_read_seconds,model_linear_constraints,model_nonzeros,model_general_constraints,selector_variables,perspective_variables,presolved_rows,presolved_columns,presolved_nonzeros
round39_small_hard_V10_M1_Q20_slot01_seed561355351,EXTERNAL-K2-FIXED,520172608f4fe589fcf5bff891e3f183bf0c6baa99330886717344dfaa4d9b90;a2afdeaf19641a9f0454ea456044867915ca4c0ca25e314bea88f76d82c9f926,1166,368,80,718,0.07194539999999999,0.013176,6060,35787,490,,,,,
round39_small_hard_V10_M1_Q20_slot01_seed561355351,ST-K2-P-CORE,5c600751e9ca9e7dc326c8a8400650c0f7acca32cf29a6c63ad70b47c3280d6b,691,185,40,466,0.069033,0.0094048,3403,18895,490,2,214,1286,467,6783
round39_small_hard_V10_M1_Q20_slot01_seed561355351,ST-K4-P-CORE,13026f86d6c171d68a49fb61c1a6455b461b1c3ff49fc704be5f022871774b4a,907,187,40,680,0.0570016,0.0096293,4149,21175,980,4,428,1758,586,9166
round39_small_hard_V10_M1_Q20_slot01_seed561355351,ST-K4-P-CORE-HIERARCHICAL,c889d21e753b79e14a8bac6cce5217686c7dbd284e8ba323c87ab456d6939a4d,909,189,40,680,0.0576627,0.0099839,4152,21183,980,4,428,0,0,0
round39_small_hard_V10_M1_Q20_slot01_seed561355351,PAIRED-K4,c7ecf5f1aaedd33710e3dd5e421dde4401f8f67dde6fcbc5bc40de67f32e518a;82488bdf3b0a711cda3332a97b851fdbca8a17162025876b31774154582a729f,1382,370,80,932,0.0931984,0.017602800000000002,6806,38067,980,,,,,
round39_small_hard_V10_M1_Q20_slot01_seed561355351,PAIRED-K4-FACTORED,72a5d83471a5338840e121dc65adbe1012f8781a84635a55edbc6068818fe00b;61b43413df252b36c81326fd9ac9f21196f5533c90bfcc1a2bcf614e71058cfb,1382,370,80,932,0.0947476,0.0158069,7018,39161,556,,,,,
round39_small_hard_V10_M1_Q20_slot01_seed561355351,C6-SIBLING-CORE,,0,,,,0.43578169999999994,0.07327579999999999,0,0,0,0,0,,,
round39_small_hard_V10_M1_Q20_slot01_seed561355351,C6-SIBLING-CORE-FACTORED,,0,,,,0.4652011,0.07829229999999998,0,0,0,0,0,,,
round39_small_hard_V12_M3_Q20_slot07_seed621538683,C6-HGA-FULL-K4,,0,,,,2.4309510999999997,0.5045522,0,0,0,0,0,,,
round39_small_hard_V12_M3_Q20_slot07_seed621538683,C6-K1-SINGLE,,0,,,,0.2202233,0.0427592,0,0,0,0,0,,,
round39_small_hard_V12_M3_Q20_slot07_seed621538683,EXTERNAL-K2-FIXED,c8dfb7636c80e4240c7986bd2cabf0fdc162a88ce0b8062e653566876303b6f7;501df27fcba82ec5ade1541adbee3a17709eb918eccac46d419b31b85a6d7adb,3080,1216,240,1624,0.427775,0.0912617,34116,336567,704,,,,,
round39_small_hard_V12_M3_Q20_slot07_seed621538683,ST-K2-P-CORE,7cf2305e8826ec6678222d6e4ca53f72abec9c490b097e28e1843380811255cb,1676,609,120,947,0.2286581,0.0700341,17529,169548,704,2,270,7284,1523,82838
round39_small_hard_V12_M3_Q20_slot07_seed621538683,ST-K4-P-CORE,bb5a3f595c356fb57cc683d431c911fc4d19e1da321b4fbfea843c4f3ff25c63,1948,611,120,1217,0.2435752,0.0496122,18471,172426,1409,4,540,8429,1828,89168
round39_small_hard_V12_M3_Q20_slot07_seed621538683,ST-K4-P-CORE-HIERARCHICAL,a20c7cca60479706664ac48f86acd2aacabb40013b8d3aa0494d2a02effcf9bc,1950,613,120,1217,0.2439634,0.0483109,18474,172434,1409,4,540,0,0,0
round39_small_hard_V12_M3_Q20_slot07_seed621538683,PAIRED-K4,411f8bd9c4eb903856fc5e227730a62203c2030282c122249cfe7d6074fdd8a0;744e971e58b5b46c9f475e8f6365d26fdb8fbec3feb60bf1e01d283228e0c746,3352,1218,240,1894,0.49614919999999996,0.1003539,35058,339445,1409,,,,,
round39_small_hard_V12_M3_Q20_slot07_seed621538683,PAIRED-K4-FACTORED,046807f61f86f8dfbdb2871e17178cc35b071ea989c8159f702636ec5a24ec32;12a0caca805841d32eeec9d2f2617f82bf3d66f5f10a1b282947443a95730ba2,3352,1218,240,1894,0.48718549999999994,0.09837989999999999,35358,340984,809,,,,,
