leaf_id,parent_id,depth,gamma_L,gamma_U,terminal_valid,optimal,infeasible,bound_available,lower_bound,native_status,work,iterations,telemetry_seconds
R.1.0.0.1.1.1.1,"R.1.0.0.1.1.1",7,0.44345173116908354,0.44906504422185678,1,1,0,1,0.65412521288531966,"OPTIMAL",0.26838569109475752,957,144.93443160000001
R.1.0.0.1.1.0.1.1.1.1,"R.1.0.0.1.1.0.1.1.1",10,0.43713675398471374,0.43783841811631036,1,1,0,1,0.65056705239957302,"OPTIMAL",0.2624267705177199,775,145.19863470000001
R.1.0.0.1.1.0.1.1.1.0,"R.1.0.0.1.1.0.1.1.1",10,0.43643508985311708,0.43713675398471374,1,1,0,1,0.65036854522912479,"OPTIMAL",0.26918284707224716,879,159.40836010000001
R.1.0.0.1.1.1.0.1,"R.1.0.0.1.1.1.0",8,0.44064507464269698,0.44345173116908354,1,1,0,1,0.65229256242706501,"OPTIMAL",0.26332875595477678,801,168.647503
R.1.0.0.1.1.1.0.0,"R.1.0.0.1.1.1.0",8,0.43783841811631036,0.44064507464269698,1,1,0,1,0.65036070020108494,"OPTIMAL",0.24998714213514694,820,168.9112351
R.1.0.0.1.1.1.0.0.0,"R.1.0.0.1.1.1.0.0",9,0.43783841811631036,0.43924174637950364,1,1,0,1,0.65052954581306166,"OPTIMAL",0.25057434848166033,754,169.17354520000001
R.1.0.0.1.1.1.0.0.1,"R.1.0.0.1.1.1.0.0",9,0.43924174637950364,0.44064507464269698,1,1,0,1,0.65137704456111523,"OPTIMAL",0.26101846862017208,807,169.44006350000001
R.1.0.0.1.1.1.0.0.0.0,"R.1.0.0.1.1.1.0.0.0",10,0.43783841811631036,0.43854008224790697,1,1,0,1,0.6507750290686487,"OPTIMAL",0.2752927163890484,795,169.71066680000001
R.1.0.0.1.1.1.0.0.0.1,"R.1.0.0.1.1.1.0.0.0",10,0.43854008224790697,0.43924174637950364,1,1,0,1,0.65099873926512875,"OPTIMAL",0.26610946846740363,851,184.53155330000001
R.1.0.0.1.1.1.0.0.1.0,"R.1.0.0.1.1.1.0.0.1",10,0.43924174637950364,0.43994341051110031,1,1,0,1,0.65140306778093149,"OPTIMAL",0.27067352005325068,830,193.4472586
R.1.0.0.1.1.1.0.0.1.1,"R.1.0.0.1.1.1.0.0.1",10,0.43994341051110031,0.44064507464269698,1,1,0,1,0.65188675081318381,"OPTIMAL",0.25750078815160088,770,200.5782155
R.1.0.0.1.1.1.0.1.0,"R.1.0.0.1.1.1.0.1",9,0.44064507464269698,0.44204840290589026,1,1,0,1,0.65234454537249342,"OPTIMAL",0.26508969227489787,848,213.08173070000001
R.1.0.0.1.1.1.0.1.1,"R.1.0.0.1.1.1.0.1",9,0.44204840290589026,0.44345173116908354,1,1,0,1,0.65331248704929401,"OPTIMAL",0.27081695346435924,815,213.3523265
R.1.0.0.1.1.1.0.1.0.1,"R.1.0.0.1.1.1.0.1.0",10,0.44134673877429365,0.44204840290589026,1,1,0,1,0.65285444040804586,"OPTIMAL",0.28011967555477607,874,213.6264371
R.1.0.0.1.1.1.0.1.0.0,"R.1.0.0.1.1.1.0.1.0",10,0.44064507464269698,0.44134673877429365,1,1,0,1,0.65237054823715124,"OPTIMAL",0.27532117325483846,808,226.6542728
R.1.0.0.1.1.1.0.1.1.0,"R.1.0.0.1.1.1.0.1.1",10,0.44204840290589026,0.44275006703748687,1,1,0,1,0.65333846567767173,"OPTIMAL",0.27103159660233633,824,237.18366829999999
R.1.0.0.1.1.1.0.1.1.1,"R.1.0.0.1.1.1.0.1.1",10,0.44275006703748687,0.44345173116908354,1,1,0,1,0.65382258516776959,"OPTIMAL",0.28455380987751411,839,245.568209
R.1.0.0.1.1.1.1.0,"R.1.0.0.1.1.1.1",8,0.44345173116908354,0.44625838769547016,1,1,0,1,0.65422898357704795,"OPTIMAL",0.26556451047265078,826,257.85123249999998
R.1.0.0.1.1.1.1.1,"R.1.0.0.1.1.1.1",8,0.44625838769547016,0.44906504422185678,1,1,0,1,0.65616716264948316,"OPTIMAL",0.26389321801870919,802,258.11582600000003
R.1.0.0.1.1.1.1.0.1,"R.1.0.0.1.1.1.1.0",9,0.44485505943227688,0.44625838769547016,1,1,0,1,0.65524969032609659,"OPTIMAL",0.26655273868615376,899,258.38241060000001
R.1.0.0.1.1.1.1.0.0,"R.1.0.0.1.1.1.1.0",9,0.44345173116908354,0.44485505943227688,1,1,0,1,0.65428086892291237,"OPTIMAL",0.2828936311786413,907,258.65655889999999
R.1.0.0.1.1.1.1.0.0.0,"R.1.0.0.1.1.1.1.0.0",10,0.44345173116908354,0.44415339530068021,1,1,0,1,0.65430681159584481,"OPTIMAL",0.28159216024959177,835,258.92529869999998
R.1.0.0.1.1.1.1.0.0.1,"R.1.0.0.1.1.1.1.0.0",10,0.44415339530068021,0.44485505943227688,1,1,0,1,0.65479115521336062,"OPTIMAL",0.27048598938126212,836,269.42647590000001
R.1.0.0.1.1.1.1.0.1.1,"R.1.0.0.1.1.1.1.0.1",10,0.44555672356387355,0.44625838769547016,1,1,0,1,0.65576018378792944,"OPTIMAL",0.2489981407480254,773,278.93199770000001
