run_id,stage,arm,instance,K0,rho,rho_explicit,executable_sha256,process_cap_seconds,status,certificate,strict_rejection_reason,failure_reason,time_seconds,work,lower_bound,verified_upper_bound,relative_gap,split_count,initial_interval_count,final_interval_count,lp_jobs,native_target_jobs,terminal_mip_jobs,nodes,peak_memory_gb,completion_marker,watchdog_timeout,lb_300,ub_300,gap_300,gi_300,lb_1200,ub_1200,gap_1200,gi_1200,lb_1800,ub_1800,gap_1800,gi_1800
stage3_300s__high_imbalance_seed3201__P-GRB,stage3_300s,P-GRB,high_imbalance_seed3201,,,False,d574b38b2f44ae2aacf92bf685f439354b5a08dbe257b6c399045b98a157871b,300.0,time_limit,False,model_fingerprint_mismatch;unsupported_strict_status:TIME_LIMIT,,280.1848542,529.1718946444437,2.05655260557183,2.4434031919432,0.1583244990621928,0,0,0,0,0,0,10270.0,0.113310204,True,False,2.05655260557183,2.4434031919432,0.1583244990621928,0.16845160953084715,2.05655260557183,2.4434031919432,0.1583244990621928,0.16085627667935637,2.05655260557183,2.4434031919432,0.1583244990621928,0.16001235080696852
stage3_300s__moderate_seed3301__K1-r001,stage3_300s,K1-r001,moderate_seed3301,1,0.01,True,d574b38b2f44ae2aacf92bf685f439354b5a08dbe257b6c399045b98a157871b,300.0,round31_c6_external_gini_tree_time_limit,False,relevant_leaf_open,relevant_leaf_open,280.0338257,458.5959028174342,0.04686395844899715,0.04915255266474515,0.04656104498494345,1,1,2,5,2,1,4410.0,0.15338164,True,False,0.04686395844899715,0.04915255266474515,0.04656104498494345,0.21645624729752436,0.04686395844899715,0.04915255266474515,0.04656104498494345,0.08903484556308867,0.04686395844899715,0.04915255266474515,0.04656104498494345,0.07487691203704026
stage3_300s__moderate_seed3301__K1-r012,stage3_300s,K1-r012,moderate_seed3301,1,0.12,True,d574b38b2f44ae2aacf92bf685f439354b5a08dbe257b6c399045b98a157871b,300.0,round31_c6_external_gini_tree_time_limit,False,relevant_leaf_open,relevant_leaf_open,280.0330716,458.6462957702948,0.04686395844899715,0.04915255266474515,0.04656104498494345,1,1,2,5,2,1,4410.0,0.15338164,True,False,0.04686395844899715,0.04915255266474515,0.04656104498494345,0.21745876467683437,0.04686395844899715,0.04915255266474515,0.04656104498494345,0.08928547490791618,0.04686395844899715,0.04915255266474515,0.04656104498494345,0.07504399826692526
stage3_300s__moderate_seed3301__K1-r015,stage3_300s,K1-r015,moderate_seed3301,1,0.15,True,d574b38b2f44ae2aacf92bf685f439354b5a08dbe257b6c399045b98a157871b,300.0,round31_c6_external_gini_tree_time_limit,False,relevant_leaf_open,relevant_leaf_open,280.0261814,458.604285278424,0.04686395844899715,0.04915255266474515,0.04656104498494345,1,1,2,5,2,1,4410.0,0.15338164,True,False,0.04686395844899715,0.04915255266474515,0.04656104498494345,0.21645772641434108,0.04686395844899715,0.04915255266474515,0.04656104498494345,0.08903521534229286,0.04686395844899715,0.04915255266474515,0.04656104498494345,0.07487715855650973
stage3_300s__moderate_seed3301__K1-r020,stage3_300s,K1-r020,moderate_seed3301,1,0.2,True,d574b38b2f44ae2aacf92bf685f439354b5a08dbe257b6c399045b98a157871b,300.0,round31_c6_external_gini_tree_time_limit,False,relevant_leaf_open,relevant_leaf_open,280.0263391,487.39745459549977,0.04437919174734002,0.04915255266474515,0.09711318453718558,0,1,1,3,1,1,2032.0,0.159219229,True,False,0.04437919174734002,0.04915255266474515,0.09711318453718558,0.2539903635980873,0.04437919174734002,0.04915255266474515,0.09711318453718558,0.136332479302411,0.04437919174734002,0.04915255266474515,0.09711318453718558,0.12325938104733587
stage3_300s__moderate_seed3301__K1-r050,stage3_300s,K1-r050,moderate_seed3301,1,0.5,True,d574b38b2f44ae2aacf92bf685f439354b5a08dbe257b6c399045b98a157871b,300.0,round31_c6_external_gini_tree_time_limit,False,relevant_leaf_open,relevant_leaf_open,280.0256572,487.7831510398204,0.04437919174734002,0.04915255266474515,0.09711318453718558,0,1,1,3,1,1,2037.0,0.159219229,True,False,0.04437919174734002,0.04915255266474515,0.09711318453718558,0.25281144486720386,0.04437919174734002,0.04915255266474515,0.09711318453718558,0.13603774961969015,0.04437919174734002,0.04915255266474515,0.09711318453718558,0.12306289459218861
stage3_300s__moderate_seed3301__K4-r001,stage3_300s,K4-r001,moderate_seed3301,4,0.01,True,d574b38b2f44ae2aacf92bf685f439354b5a08dbe257b6c399045b98a157871b,300.0,round31_c6_external_gini_tree_time_limit,False,relevant_leaf_open,relevant_leaf_open,280.0348074,428.6978001195341,0.04363065333581688,0.04915255266474515,0.1123420662725595,1,4,5,8,3,1,5138.0,0.160552829,True,False,0.04363065333581688,0.04915255266474515,0.1123420662725595,0.24361829937635704,0.04363065333581688,0.04915255266474515,0.1123420662725595,0.14516112454850888,0.04363065333581688,0.04915255266474515,0.1123420662725595,0.13422143845652576
stage3_300s__moderate_seed3301__K4-r012,stage3_300s,K4-r012,moderate_seed3301,4,0.12,True,d574b38b2f44ae2aacf92bf685f439354b5a08dbe257b6c399045b98a157871b,300.0,round31_c6_external_gini_tree_time_limit,False,relevant_leaf_open,relevant_leaf_open,280.0336059,445.33423816275035,0.04363065333581688,0.04915255266474515,0.1123420662725595,1,4,5,8,3,1,5765.0,0.160552829,True,False,0.04363065333581688,0.04915255266474515,0.1123420662725595,0.24130373114221376,0.04363065333581688,0.04915255266474515,0.1123420662725595,0.14458248248997307,0.04363065333581688,0.04915255266474515,0.1123420662725595,0.13383567708416852
stage3_300s__moderate_seed3301__K4-r015,stage3_300s,K4-r015,moderate_seed3301,4,0.15,True,d574b38b2f44ae2aacf92bf685f439354b5a08dbe257b6c399045b98a157871b,300.0,round31_c6_external_gini_tree_time_limit,False,relevant_leaf_open,relevant_leaf_open,280.0287688,445.3070559898526,0.04363065333581688,0.04915255266474515,0.1123420662725595,1,4,5,8,3,1,5758.0,0.160552829,True,False,0.04363065333581688,0.04915255266474515,0.1123420662725595,0.24066444554661814,0.04363065333581688,0.04915255266474515,0.1123420662725595,0.14442266109107418,0.04363065333581688,0.04915255266474515,0.1123420662725595,0.13372912948490262
stage3_300s__moderate_seed3301__K4-r020,stage3_300s,K4-r020,moderate_seed3301,4,0.2,True,d574b38b2f44ae2aacf92bf685f439354b5a08dbe257b6c399045b98a157871b,300.0,round31_c6_external_gini_tree_time_limit,False,relevant_leaf_open,relevant_leaf_open,280.0333844,445.6475028485634,0.04363065333581688,0.04915255266474515,0.1123420662725595,1,4,5,8,3,1,5795.0,0.160552829,True,False,0.04363065333581688,0.04915255266474515,0.1123420662725595,0.24036735222042252,0.04363065333581688,0.04915255266474515,0.1123420662725595,0.14434838775952527,0.04363065333581688,0.04915255266474515,0.1123420662725595,0.13367961393053668
