run_id,stage,arm,instance,certificate,status,false_certificate,completion_marker,watchdog_timeout,lower_bound,verified_upper_bound,bound_order_valid
stage3_300s__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__K4-r015,stage3_300s,K4-r015,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,True,optimal,False,True,False,0.5063433075652044,0.506343307565206,True
stage3_300s__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__K4-r020,stage3_300s,K4-r020,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,True,optimal,False,True,False,0.5063433075652044,0.506343307565206,True
stage3_300s__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__K4-r050,stage3_300s,K4-r050,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,True,optimal,False,True,False,0.5063433075652044,0.506343307565206,True
stage3_300s__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__P-GRB,stage3_300s,P-GRB,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,False,time_limit,False,True,False,0.26103276164529726,0.506343307565206,True
stage3_300s__round39_small_medium_V10_M2_Q20_slot05_seed968549317__K1-r001,stage3_300s,K1-r001,round39_small_medium_V10_M2_Q20_slot05_seed968549317,True,optimal,False,True,False,0.12152565367470092,0.1215256536747018,True
stage3_300s__round39_small_medium_V10_M2_Q20_slot05_seed968549317__K1-r012,stage3_300s,K1-r012,round39_small_medium_V10_M2_Q20_slot05_seed968549317,True,optimal,False,True,False,0.12152565367470163,0.1215256536747018,True
stage3_300s__round39_small_medium_V10_M2_Q20_slot05_seed968549317__K1-r015,stage3_300s,K1-r015,round39_small_medium_V10_M2_Q20_slot05_seed968549317,True,optimal,False,True,False,0.12152565367470163,0.1215256536747018,True
stage3_300s__round39_small_medium_V10_M2_Q20_slot05_seed968549317__K1-r020,stage3_300s,K1-r020,round39_small_medium_V10_M2_Q20_slot05_seed968549317,True,optimal,False,True,False,0.12152565367470163,0.1215256536747018,True
stage3_300s__round39_small_medium_V10_M2_Q20_slot05_seed968549317__K1-r050,stage3_300s,K1-r050,round39_small_medium_V10_M2_Q20_slot05_seed968549317,True,optimal,False,True,False,0.12152565367470163,0.1215256536747018,True
stage3_300s__round39_small_medium_V10_M2_Q20_slot05_seed968549317__K4-r001,stage3_300s,K4-r001,round39_small_medium_V10_M2_Q20_slot05_seed968549317,True,optimal,False,True,False,0.12152565367470176,0.1215256536747018,True
stage3_300s__round39_small_medium_V10_M2_Q20_slot05_seed968549317__K4-r012,stage3_300s,K4-r012,round39_small_medium_V10_M2_Q20_slot05_seed968549317,True,optimal,False,True,False,0.12152565367470176,0.1215256536747018,True
stage3_300s__round39_small_medium_V10_M2_Q20_slot05_seed968549317__K4-r015,stage3_300s,K4-r015,round39_small_medium_V10_M2_Q20_slot05_seed968549317,True,optimal,False,True,False,0.12152565367470176,0.1215256536747018,True
stage3_300s__round39_small_medium_V10_M2_Q20_slot05_seed968549317__K4-r020,stage3_300s,K4-r020,round39_small_medium_V10_M2_Q20_slot05_seed968549317,True,optimal,False,True,False,0.12152565367470176,0.1215256536747018,True
stage3_300s__round39_small_medium_V10_M2_Q20_slot05_seed968549317__K4-r050,stage3_300s,K4-r050,round39_small_medium_V10_M2_Q20_slot05_seed968549317,True,optimal,False,True,False,0.12152565367470176,0.1215256536747018,True
stage3_300s__round39_small_medium_V10_M2_Q20_slot05_seed968549317__P-GRB,stage3_300s,P-GRB,round39_small_medium_V10_M2_Q20_slot05_seed968549317,True,optimal,False,True,False,0.12152565367470183,0.1215256536747018,True
