"instance","instance_scope","algorithm_preset","option_audit_consistent","option_audit_mismatches","column_tracks","rmp_column_space","relaxed_columns_in_rmp","pricing_engine","final_pricing_engine","large_instance_mode","station_set_backend","route_mask_all_subset_enumeration_enabled","incumbent_archive_auto","compact_fallback_enabled","relaxed_RMP_enabled","cplex_plain_baseline","cplex_seed_enabled","result_file"
,"smoke","custom","True","","elementary-only","elementary",,"exact-label",,"off","uint64","True",,,"False",,,"E:\codes\ExactEBRP\results\optimization_update_round16\raw\v4_relaxed-rmp-cg-test.json"
,"smoke","custom","True","","elementary-only","elementary",,"exact-label",,"off","uint64","True",,,"False",,,"E:\codes\ExactEBRP\results\optimization_update_round16\raw\v4_relaxed-rmp-test.json"
,"smoke","custom","True","","elementary-only","elementary",,"exact-label",,"off","uint64","True",,,"False",,,"E:\codes\ExactEBRP\results\optimization_update_round16\raw\v4_resume-state-test.json"
,"smoke","custom","True","","elementary-only","elementary",,"exact-label",,"off","uint64","True",,,"False",,,"E:\codes\ExactEBRP\results\optimization_update_round16\raw\v4_route-mask-operation-budget-test.json"
,"smoke","custom","True","","elementary-only","elementary",,"exact-label",,"off","uint64","True",,,"False",,,"E:\codes\ExactEBRP\results\optimization_update_round16\raw\v4_route-mask-support-test.json"
,"smoke","custom","True","","elementary-only","elementary",,"exact-label",,"off","uint64","True",,,"False",,,"E:\codes\ExactEBRP\results\optimization_update_round16\raw\v4_route-pool-incumbent-test.json"
,"smoke","custom","True","","elementary-only","elementary",,"exact-label",,"off","uint64","True",,,"False",,,"E:\codes\ExactEBRP\results\optimization_update_round16\raw\v4_station-set-test.json"
,"smoke","custom","True","","elementary-only","elementary",,"exact-label",,"off","uint64","True",,,"False",,,"E:\codes\ExactEBRP\results\optimization_update_round16\raw\v4_support-pruning-test.json"
,"smoke","custom","True","","elementary-only","elementary",,"exact-label",,"off","uint64","True",,,"False",,,"E:\codes\ExactEBRP\results\optimization_update_round16\raw\v4_two-track-column-test.json"
,"smoke","custom","True","","elementary-only","elementary",,"exact-label",,"off","uint64","True",,,"False",,,"E:\codes\ExactEBRP\results\optimization_update_round16\raw\v4_vehicle-indexed-relaxation-test.json"
,"smoke","custom","True","","elementary-only","elementary",,"exact-label",,"off","uint64","True",,,"False",,,"E:\codes\ExactEBRP\results\optimization_update_round16\raw\v4_vehicle-indexed-transfer-flow-test.json"
,"diagnostic_large","diagnostic-large","True","","two-track","two-track",,"hybrid",,"force","uint64","False",,,"True",,,"E:\codes\ExactEBRP\results\optimization_update_round16\raw\v50_diagnostic_large.json"
,"regenerated_engineering","paper-bpc-core","True","","elementary-only","elementary",,"exact-label",,"off","uint64","True",,,"False",,,"E:\codes\ExactEBRP\results\optimization_update_round16\raw\v8_m2_paper_bpc_core.json"
