run_id,algorithm,flow_variant,retained_event_sequence,callback_invocation_sequence,observation_time_seconds,scheduled_checkpoint_seconds,observation_age_seconds,fresh_observation,observation_source,callback_context,phase,native_deterministic_time,native_best_bound,native_incumbent,verified_same_run_ub,project_gap,native_cplex_gap,processed_nodes,open_nodes,native_solution_count,simplex_iterations,tree_memory_mb,gini_branch_count,ordinary_branch_count,current_open_gini_siblings,oldest_gini_sibling_delay_seconds,maximum_gini_sibling_delay_seconds,last_valid_lower_bound_improvement_time,first_incumbent_time,first_gini_branch_time,first_ordinary_branch_time,root_completion_time,model_rows,model_columns,model_nonzeros,executable_sha256,retention_trigger
stage1c__V12_M2__s0_safe__180s,S0-SAFE,round20-current,4634,9486,128.32265219999999,128.32265219999999,0,true,cplex_generic_relaxation_read_only_progress,relaxation,ordinary_tree,265521.64658355713,0.69605097899130886,,0.71850407075497091,0.03124977669238448,,7102,2105,,643549,,117,4493,13,124.18723499999999,124.18723499999999,128.2909459,,3.7628955999999998,5.7886635000000002,3.7628955999999998,11351,1032,113440,1154393cbc850513a8f0707d0e3e3b10d3d121db4dfc0bb9c6f9e881d2b95ac2,ordinary_branch_count_change
stage1c__V12_M2__s0_safe__180s,S0-SAFE,round20-current,4635,9488,128.32523549999999,128.32523549999999,0,true,cplex_generic_relaxation_read_only_progress,relaxation,ordinary_tree,265529.2303647995,0.69605097899130886,,0.71850407075497091,0.03124977669238448,,7103,2106,,643584,,117,4494,13,124.18981829999998,124.18981829999998,128.2909459,,3.7628955999999998,5.7886635000000002,3.7628955999999998,11351,1032,113440,1154393cbc850513a8f0707d0e3e3b10d3d121db4dfc0bb9c6f9e881d2b95ac2,ordinary_branch_count_change
stage1c__V12_M2__s0_safe__180s,S0-SAFE,round20-current,4636,9490,128.4022119,128.4022119,0,true,cplex_generic_relaxation_read_only_progress,relaxation,ordinary_tree,265678.23175239563,0.69605097899130886,,0.71850407075497091,0.03124977669238448,,7106,2105,,643684,,117,4495,13,124.26679469999999,124.26679469999999,128.2909459,,3.7628955999999998,5.7886635000000002,3.7628955999999998,11351,1032,113440,1154393cbc850513a8f0707d0e3e3b10d3d121db4dfc0bb9c6f9e881d2b95ac2,ordinary_branch_count_change
stage1c__V12_M2__s0_safe__180s,S0-SAFE,round20-current,4637,9492,128.4031387,128.4031387,0,true,cplex_generic_relaxation_read_only_progress,relaxation,ordinary_tree,265680.27498912811,0.69607692832890511,,0.71850407075497091,0.031213660908699373,,7107,2106,,644009,,117,4496,13,124.26772149999999,124.26772149999999,128.4031387,,3.7628955999999998,5.7886635000000002,3.7628955999999998,11351,1032,113440,1154393cbc850513a8f0707d0e3e3b10d3d121db4dfc0bb9c6f9e881d2b95ac2,best_bound_change
stage1c__V12_M2__s0_safe__180s,S0-SAFE,round20-current,4638,9494,128.4061748,128.4061748,0,true,cplex_generic_relaxation_read_only_progress,relaxation,ordinary_tree,265688.6481218338,0.69607692832890511,,0.71850407075497091,0.031213660908699373,,7108,2107,,644010,,117,4497,13,124.2707576,124.2707576,128.4031387,,3.7628955999999998,5.7886635000000002,3.7628955999999998,11351,1032,113440,1154393cbc850513a8f0707d0e3e3b10d3d121db4dfc0bb9c6f9e881d2b95ac2,ordinary_branch_count_change
stage1c__V12_M2__s0_safe__180s,S0-SAFE,round20-current,4639,9496,128.40710580000001,128.40710580000001,0,true,cplex_generic_relaxation_read_only_progress,relaxation,ordinary_tree,265690.93884372711,0.69607692832890511,,0.71850407075497091,0.031213660908699373,,7109,2108,,644049,,117,4498,13,124.2716886,124.2716886,128.4031387,,3.7628955999999998,5.7886635000000002,3.7628955999999998,11351,1032,113440,1154393cbc850513a8f0707d0e3e3b10d3d121db4dfc0bb9c6f9e881d2b95ac2,ordinary_branch_count_change
stage1c__V12_M2__s0_safe__180s,S0-SAFE,round20-current,4640,9498,128.4186593,128.4186593,0,true,cplex_generic_relaxation_read_only_progress,relaxation,ordinary_tree,265720.0170879364,0.69607692832890511,,0.71850407075497091,0.031213660908699373,,7110,2109,,644050,,117,4499,13,124.2832421,124.2832421,128.4031387,,3.7628955999999998,5.7886635000000002,3.7628955999999998,11351,1032,113440,1154393cbc850513a8f0707d0e3e3b10d3d121db4dfc0bb9c6f9e881d2b95ac2,ordinary_branch_count_change
stage1c__V12_M2__s0_safe__180s,S0-SAFE,round20-current,4641,9500,128.4233989,128.4233989,0,true,cplex_generic_relaxation_read_only_progress,relaxation,ordinary_tree,265733.10322570801,0.69607692832890511,,0.71850407075497091,0.031213660908699373,,7111,2110,,644157,,117,4500,13,124.28798169999999,124.28798169999999,128.4031387,,3.7628955999999998,5.7886635000000002,3.7628955999999998,11351,1032,113440,1154393cbc850513a8f0707d0e3e3b10d3d121db4dfc0bb9c6f9e881d2b95ac2,ordinary_branch_count_change
stage1c__V12_M2__s0_safe__180s,S0-SAFE,round20-current,4642,9502,128.44906549999999,128.44906549999999,0,true,cplex_generic_relaxation_read_only_progress,relaxation,ordinary_tree,265801.04986381531,0.69607692832890511,,0.71850407075497091,0.031213660908699373,,7112,2111,,644162,,117,4501,13,124.31364829999998,124.31364829999998,128.4031387,,3.7628955999999998,5.7886635000000002,3.7628955999999998,11351,1032,113440,1154393cbc850513a8f0707d0e3e3b10d3d121db4dfc0bb9c6f9e881d2b95ac2,ordinary_branch_count_change
stage1c__V12_M2__s0_safe__180s,S0-SAFE,round20-current,4643,9504,128.45340580000001,128.45340580000001,0,true,cplex_generic_relaxation_read_only_progress,relaxation,ordinary_tree,265812.6664276123,0.69607692832890511,,0.71850407075497091,0.031213660908699373,,7113,2112,,644372,,117,4502,13,124.31798860000001,124.31798860000001,128.4031387,,3.7628955999999998,5.7886635000000002,3.7628955999999998,11351,1032,113440,1154393cbc850513a8f0707d0e3e3b10d3d121db4dfc0bb9c6f9e881d2b95ac2,ordinary_branch_count_change
